tagger_decision_id,tweet_id,tagged_by,classification,features,tagging_date,tagging_duration
306,1772946275756884200,12,Irrelevant,[],2025-03-20 03:03:47.728884,0 days 00:00:06.077000
309,1885357429006667800,12,Negative,[],2025-03-20 03:05:00.301375,0 days 00:00:08.097000
311,1737413363377054000,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-20 03:05:49.791714,0 days 00:00:40.728000
313,1846816095665377300,12,Negative,[],2025-03-20 03:06:21.339652,0 days 00:00:15.011000
314,1830472523869557200,12,Positive,['Justifying Nazi ideology'],2025-03-20 03:06:37.909364,0 days 00:00:15.595000
315,1864771420678447400,12,Negative,[],2025-03-20 03:06:51.203958,0 days 00:00:12.330000
316,1837792632942350600,12,Negative,[],2025-03-20 03:07:06.388350,0 days 00:00:14.269000
317,1833502505520476400,12,Negative,[],2025-03-20 03:07:24.137271,0 days 00:00:16.825000
318,1820618757758472200,12,Negative,[],2025-03-20 03:07:35.221611,0 days 00:00:10.059000
319,1840683524199788800,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:08:08.081572,0 days 00:00:31.848000
320,1878174018391409000,12,Negative,[],2025-03-20 03:08:17.332135,0 days 00:00:08.242000
321,1753239988500943400,12,Irrelevant,[],2025-03-20 03:08:25.130680,0 days 00:00:06.899000
322,1814455828034007000,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 03:09:07.404545,0 days 00:00:41.348000
323,1867403870504411100,12,Positive,['Other'],2025-03-20 03:09:36.355087,0 days 00:00:28.027000
324,1824364637451850000,12,Negative,[],2025-03-20 03:09:50.853316,0 days 00:00:13.454000
325,1852110482812920300,12,Irrelevant,[],2025-03-20 03:09:55.513405,0 days 00:00:03.745000
326,1881412423011463400,12,Negative,[],2025-03-20 03:10:09.376216,0 days 00:00:12.908000
327,1710742872566510000,12,Negative,[],2025-03-20 03:10:42.865892,0 days 00:00:32.454000
328,1870037964971225000,12,Positive,"['Justifying Nazi ideology', 'Spreading conspiracy theories about Jewish control (power, money, and media)', 'Other']",2025-03-20 03:11:33.671474,0 days 00:00:49.837000
329,1794176328838852900,12,Positive,['Other'],2025-03-20 03:11:58.348725,0 days 00:00:23.731000
330,1795973765794332700,12,Negative,[],2025-03-20 03:12:10.614255,0 days 00:00:11.314000
331,1896684018588102700,12,Negative,[],2025-03-20 03:12:29.341436,0 days 00:00:17.594000
332,1841989004599951400,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 03:12:53.567099,0 days 00:00:23.158000
333,1795378182037909500,12,Positive,['Other'],2025-03-20 03:13:31.124669,0 days 00:00:36.567000
334,1830407463453290500,12,Negative,[],2025-03-20 03:13:41.414086,0 days 00:00:09.374000
335,1833968278240460800,12,Negative,[],2025-03-20 03:13:52.376444,0 days 00:00:10.031000
336,1884628008901685200,12,Irrelevant,[],2025-03-20 03:14:04.368373,0 days 00:00:10.963000
337,1873812202341438000,12,Negative,[],2025-03-20 03:14:08.542394,0 days 00:00:03.198000
338,1883512367386108200,12,Positive,['Other'],2025-03-20 03:14:34.007632,0 days 00:00:24.448000
339,1869212604301979600,12,Irrelevant,[],2025-03-20 03:14:37.958371,0 days 00:00:02.995000
340,1710583473604604200,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:15:17.957142,0 days 00:00:38.985000
341,1773841140489593000,12,Positive,['Other'],2025-03-20 03:15:24.840986,0 days 00:00:05.953000
342,1834955274886824200,12,Irrelevant,[],2025-03-20 03:15:30.968158,0 days 00:00:05.132000
343,1776135526304961000,12,Uncertain,[],2025-03-20 03:16:17.450781,0 days 00:00:45.579000
344,1882176487375487200,12,Negative,[],2025-03-20 03:16:24.519643,0 days 00:00:05.999000
345,1879945050609848800,12,Irrelevant,[],2025-03-20 03:16:32.322809,0 days 00:00:06.874000
346,1792104130854670800,12,Positive,['Other'],2025-03-20 03:17:07.336314,0 days 00:00:33.962000
347,1862495487057654000,12,Negative,[],2025-03-20 03:17:25.115057,0 days 00:00:16.820000
348,1886359892773982500,12,Positive,"['Other', 'Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:17:52.988961,0 days 00:00:26.920000
349,1822956336508018700,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Other', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:18:16.830644,0 days 00:00:22.885000
350,1856631843023712500,12,Positive,"['Demonization of Jews (portraying them as inferior and despicable)', 'Other', 'Blood libels and religiously based antisemitism']",2025-03-20 03:18:56.763910,0 days 00:00:39.023000
351,1869209998179643400,12,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other', 'Calling for violence and hostility against Israel']",2025-03-20 03:19:27.686636,0 days 00:00:29.808000
352,1792180924249247700,12,Positive,['Other'],2025-03-20 03:19:38.294705,0 days 00:00:09.610000
353,1802469422290145500,12,Negative,[],2025-03-20 03:20:10.016134,0 days 00:00:30.695000
355,1762713531651346700,12,Positive,"['Other', 'Calling for violence and hostility against Israel']",2025-03-20 03:20:35.253704,0 days 00:00:17.588000
356,1898880694191116300,12,Negative,[],2025-03-20 03:20:47.694135,0 days 00:00:11.376000
357,1774330522531218000,12,Positive,"['Other', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:21:01.405451,0 days 00:00:12.741000
358,1865384854424039700,12,Negative,[],2025-03-20 03:21:30.259188,0 days 00:00:27.816000
361,1848668562992275500,12,Negative,[],2025-03-20 03:22:18.067528,0 days 00:00:21.670000
362,1725449162077221000,12,Negative,[],2025-03-20 03:22:29.725168,0 days 00:00:10.750000
364,1878098055695835400,12,Negative,[],2025-03-20 03:23:02.930999,0 days 00:00:10.235000
366,1863940231679885800,12,Uncertain,[],2025-03-20 03:25:09.093378,0 days 00:01:51.489000
371,1794719730248581400,12,Negative,[],2025-03-20 03:26:39.983711,0 days 00:00:12.829000
373,1817477739244671000,12,Negative,[],2025-03-20 03:26:59.000262,0 days 00:00:10.067000
376,1767792654656676000,12,Positive,['Other'],2025-03-20 03:27:31.563592,0 days 00:00:23.862000
378,1877957283755303400,12,Positive,['Other'],2025-03-20 03:27:55.425468,0 days 00:00:14.897000
380,1794361779826676200,12,Positive,"['Demonization of Jews (portraying them as inferior and despicable)', 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:28:31.840542,0 days 00:00:22.625000
382,1887696017404883500,12,Negative,[],2025-03-20 03:29:24.147913,0 days 00:00:13.363000
385,1894631524617916400,12,Positive,"['Demonization of Jews (portraying them as inferior and despicable)', 'Other']",2025-03-20 03:30:25.057518,0 days 00:00:34.060000
387,1827093702285914600,12,Irrelevant,[],2025-03-20 03:31:04.726518,0 days 00:00:03.194000
391,1849210034259120000,12,Negative,[],2025-03-20 03:31:54.521785,0 days 00:00:13.268000
393,1790627113676231200,12,Irrelevant,[],2025-03-20 03:32:09.529853,0 days 00:00:11.613000
398,1812642596034068500,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:33:15.632397,0 days 00:00:15.145000
1377,1760547409317519400,6,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Collective blame of Jews for actions of the State of Israel', 'Calling for violence and hostility against Israel']",2025-03-23 12:55:35.427771,0 days 00:00:27.008000
1381,1822941598436753400,6,Negative,[],2025-03-23 12:56:02.886750,0 days 00:00:03.292000
1382,1783285109682319600,6,Negative,[],2025-03-23 12:56:13.460417,0 days 00:00:10.257000
1383,1763490528702972000,6,Negative,[],2025-03-23 12:56:21.525919,0 days 00:00:07.685000
1389,1763490528702972000,8,Irrelevant,[],2025-03-23 19:31:26.227451,0 days 00:00:10.648000
1390,1795774429991162000,8,Negative,[],2025-03-23 19:32:05.838562,0 days 00:00:39.125000
1392,1856155047953887500,8,Negative,[],2025-03-23 19:33:00.667622,0 days 00:00:07.996000
1393,1884060353786699800,8,Negative,[],2025-03-23 19:33:12.866976,0 days 00:00:11.568000
1394,1854906733006651600,8,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-23 19:34:03.838263,0 days 00:00:50.384000
1395,1746345126371443200,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-23 19:35:20.408221,0 days 00:01:15.776000
1396,1880247795644600800,8,Negative,[],2025-03-23 19:38:49.698019,0 days 00:03:28.610000
1399,1867403862593921000,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Blood libels and religiously based antisemitism']",2025-03-23 19:41:00.173597,0 days 00:01:09.685000
1400,1780068079156007200,8,Irrelevant,[],2025-03-23 19:41:34.570347,0 days 00:00:33.954000
1404,1889020490632614400,8,Negative,[],2025-03-23 19:43:29.557093,0 days 00:00:32.543000
1405,1826611447843225900,8,Irrelevant,[],2025-03-23 19:43:44.176075,0 days 00:00:14.154000
1406,1726013545337499600,8,Negative,[],2025-03-23 19:44:43.191636,0 days 00:00:58.241000
1407,1763863686563955000,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Comparing Israel and its policies to Nazi Germany', 'Blood libels and religiously based antisemitism']",2025-03-23 19:45:23.506121,0 days 00:00:39.663000
1408,1897489058223579400,8,Positive,"['Justifying Nazi ideology', 'Calls for harming/killing Jews', 'Cynical use of the Holocaust and Holocaust denial', 'Calling for violence and hostility against Israel']",2025-03-23 19:46:00.546781,0 days 00:00:36.582000
1413,1888993298125131800,8,Negative,[],2025-03-23 19:48:53.048123,0 days 00:00:19.516000
1414,1869209998179643400,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-23 19:49:52.256807,0 days 00:00:58.579000
1415,1795524266647339500,8,Irrelevant,[],2025-03-23 19:51:10.387705,0 days 00:01:17.278000
1418,1764537287474565400,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-24 07:41:03.566422,0 days 00:00:57.889000
1419,1865395361583382500,8,Negative,[],2025-03-24 07:41:45.836603,0 days 00:00:41.590000
1420,1793024579666927900,8,Irrelevant,[],2025-03-24 07:42:40.084289,0 days 00:00:50.382000
1421,1890390357533167900,8,Irrelevant,[],2025-03-24 07:42:52.302222,0 days 00:00:11.715000
1422,1822191030378053600,8,Irrelevant,[],2025-03-24 07:42:56.525988,0 days 00:00:03.792000
1426,1794847173894631700,8,Irrelevant,[],2025-03-24 07:45:39.662691,0 days 00:02:13.701000
1427,1873801825503289300,8,Irrelevant,[],2025-03-24 07:45:51.267281,0 days 00:00:11.122000
1428,1879945050609848800,8,Irrelevant,[],2025-03-24 07:45:59.623357,0 days 00:00:07.927000
1429,1795928261425508900,8,Negative,[],2025-03-24 07:47:52.783447,0 days 00:01:52.452000
1430,1749351231825588200,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Collective blame of Jews for actions of the State of Israel']",2025-03-24 07:49:04.897758,0 days 00:01:11.330000
1431,1894033692131037400,8,Negative,[],2025-03-24 07:50:42.462119,0 days 00:00:38.355000
1432,1870776002571604200,8,Negative,[],2025-03-24 07:50:52.439478,0 days 00:00:09.600000
359,1800409693703274800,12,Negative,[],2025-03-20 03:21:40.510586,0 days 00:00:09.200000
360,1878907977115242500,12,Negative,[],2025-03-20 03:21:55.472655,0 days 00:00:14.005000
363,1811690500908618200,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:22:51.679879,0 days 00:00:20.860000
365,1800452572391809300,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:23:16.296057,0 days 00:00:12.262000
367,1880337784541704200,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Other']",2025-03-20 03:25:43.014636,0 days 00:00:32.888000
368,1864434451176149200,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:25:58.187389,0 days 00:00:14.145000
369,1760081365197115400,12,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other', 'Comparing Israel and its policies to Nazi Germany']",2025-03-20 03:26:17.227183,0 days 00:00:18.075000
370,1813083176732139800,12,Negative,[],2025-03-20 03:26:26.186642,0 days 00:00:07.968000
372,1797069516117307600,12,Negative,[],2025-03-20 03:26:47.935760,0 days 00:00:07.034000
374,1896453849969504300,12,Negative,[],2025-03-20 03:27:02.513547,0 days 00:00:02.550000
375,1824462989313163800,12,Irrelevant,[],2025-03-20 03:27:06.767747,0 days 00:00:03.352000
377,1867781234988085500,12,Negative,[],2025-03-20 03:27:39.580992,0 days 00:00:06.998000
379,1756267244244570600,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:28:08.277311,0 days 00:00:11.906000
381,1881091030063231200,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 03:29:09.777721,0 days 00:00:36.973000
383,1822500405001253400,12,Irrelevant,[],2025-03-20 03:29:30.490700,0 days 00:00:05.414000
384,1727821477326828000,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:29:50.105819,0 days 00:00:18.506000
386,1782359087503815000,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Other']",2025-03-20 03:31:00.402659,0 days 00:00:34.309000
388,1889488761966219500,12,Irrelevant,[],2025-03-20 03:31:13.265799,0 days 00:00:07.539000
389,1898974696915567000,12,Irrelevant,[],2025-03-20 03:31:20.611382,0 days 00:00:06.378000
390,1879664907106587100,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:31:40.231885,0 days 00:00:18.660000
392,1860886203777618200,12,Irrelevant,[],2025-03-20 03:31:56.807749,0 days 00:00:01.393000
394,1774973511414780400,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 03:32:23.268898,0 days 00:00:12.793000
395,1881705000759648500,12,Negative,[],2025-03-20 03:32:32.149137,0 days 00:00:07.973000
396,1755378209133109800,12,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-20 03:32:44.470616,0 days 00:00:11.397000
397,1711308024290464000,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Other']",2025-03-20 03:32:59.502891,0 days 00:00:14.025000
399,1751767306689237200,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 03:33:31.170340,0 days 00:00:14.490000
400,1746693130584518700,12,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 03:33:43.652585,0 days 00:00:11.505000
401,1856499937229582800,12,Uncertain,[],2025-03-20 03:34:08.411785,0 days 00:00:23.822000
402,1892258570550280200,12,Negative,[],2025-03-20 03:34:13.677352,0 days 00:00:04.297000
403,1846951659219411500,12,Negative,[],2025-03-20 03:34:34.215955,0 days 00:00:19.441000
404,1896726728871161900,12,Positive,['Other'],2025-03-20 03:34:50.746291,0 days 00:00:15.481000
405,1822436452703342600,12,Negative,[],2025-03-20 03:34:55.922052,0 days 00:00:04.197000
406,1745420597084278800,12,Negative,[],2025-03-20 03:35:07.200597,0 days 00:00:10.338000
407,1812637841853452500,12,Negative,[],2025-03-20 03:35:16.408476,0 days 00:00:08.280000
408,1836561164115022000,12,Irrelevant,[],2025-03-20 03:35:22.377052,0 days 00:00:04.863000
409,1881809024532070400,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:03:04.512010,0 days 00:00:57.376000
410,1721048691128295700,11,Positive,['Applying double standards to Israel that are not applied to other states (double standard)'],2025-03-20 09:03:50.232229,0 days 00:00:45.341000
411,1881091030063231200,11,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', 'Calling for violence and hostility against Israel']",2025-03-20 09:05:03.792044,0 days 00:01:13.216000
412,1745420597084278800,11,Negative,[],2025-03-20 09:05:25.819933,0 days 00:00:21.660000
413,1820606627957104600,11,Irrelevant,[],2025-03-20 09:05:42.292240,0 days 00:00:16.116000
414,1773841140489593000,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:05:59.382780,0 days 00:00:16.743000
415,1867403873398521900,11,Negative,[],2025-03-20 09:06:10.022868,0 days 00:00:10.247000
416,1822952027460366600,11,Negative,[],2025-03-20 09:06:22.824773,0 days 00:00:12.451000
417,1746338509190001000,11,Positive,['Other'],2025-03-20 09:07:31.775181,0 days 00:01:08.473000
418,1821486987976798700,11,Positive,"['Justifying Nazi ideology', 'Calls for harming/killing Jews']",2025-03-20 09:08:13.852436,0 days 00:00:41.713000
419,1887304432817201700,11,Irrelevant,[],2025-03-20 09:09:08.688233,0 days 00:00:54.436000
420,1868656476325384400,11,Irrelevant,[],2025-03-20 09:09:23.145562,0 days 00:00:14.107000
421,1845432006072479700,11,Negative,[],2025-03-20 09:09:50.104541,0 days 00:00:26.610000
422,1848838599325741300,11,Negative,[],2025-03-20 09:09:59.154175,0 days 00:00:08.702000
423,1854676598844248600,11,Negative,[],2025-03-20 09:10:07.185333,0 days 00:00:07.694000
424,1851495881784058000,11,Negative,[],2025-03-20 09:10:39.857372,0 days 00:00:32.320000
425,1749202713047634200,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:11:14.642557,0 days 00:00:34.431000
427,1864283410807525600,11,Irrelevant,[],2025-03-20 09:12:02.337606,0 days 00:00:35.502000
428,1852851667772834300,11,Negative,[],2025-03-20 09:12:36.465338,0 days 00:00:33.606000
429,1798510370593837300,11,Positive,"['Calling for violence and hostility against Israel', 'Applying double standards to Israel that are not applied to other states (double standard)']",2025-03-20 09:13:12.318184,0 days 00:00:35.490000
432,1794905651896037600,11,Negative,[],2025-03-20 09:14:46.769426,0 days 00:00:10.847000
435,1726337256599016000,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:17:37.477703,0 days 00:01:04.995000
437,1891953164007486000,11,Irrelevant,[],2025-03-20 09:19:53.973936,0 days 00:00:08.053000
438,1838542090843852800,11,Irrelevant,[],2025-03-20 09:19:58.731107,0 days 00:00:04.391000
441,1796661373210136800,11,Negative,[],2025-03-20 09:21:42.108339,0 days 00:00:10.157000
443,1798634100854862300,11,Irrelevant,[],2025-03-20 09:22:38.399760,0 days 00:00:17.625000
446,1894033692131037400,11,Irrelevant,[],2025-03-20 09:23:22.149340,0 days 00:00:14.236000
449,1835272530875253200,11,Irrelevant,[],2025-03-20 09:24:26.058136,0 days 00:00:06.001000
452,1865165607940788200,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:25:19.609459,0 days 00:00:21.785000
455,1799410568467726600,11,Positive,"['Calling for violence and hostility against Israel', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-20 09:25:50.863945,0 days 00:00:09.969000
457,1759365735829340700,11,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Applying double standards to Israel that are not applied to other states (double standard)', 'Blood libels and religiously based antisemitism']",2025-03-20 09:27:27.078668,0 days 00:01:16.173000
460,1828200152789930200,11,Irrelevant,[],2025-03-20 09:27:57.831189,0 days 00:00:07.087000
463,1822179880714285000,11,Irrelevant,[],2025-03-20 09:28:27.979631,0 days 00:00:04.561000
464,1866413597083271400,11,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Other']",2025-03-20 09:29:04.211947,0 days 00:00:35.865000
465,1893550831703581000,11,Negative,[],2025-03-20 09:29:19.053944,0 days 00:00:14.432000
467,1828771301944918300,11,Irrelevant,[],2025-03-20 09:30:06.552706,0 days 00:00:22.944000
469,1893783988671496200,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:30:49.676559,0 days 00:00:24.186000
470,1881520626395234300,7,Irrelevant,[],2025-03-20 09:38:37.751533,0 days 00:00:05.209000
472,1759043162981773600,7,Positive,['Other'],2025-03-20 09:40:15.967214,0 days 00:01:26.045000
474,1721416019120714000,7,Irrelevant,[],2025-03-20 09:40:52.599666,0 days 00:00:08.453000
476,1802339810616431000,7,Irrelevant,[],2025-03-20 09:41:15.492591,0 days 00:00:11.494000
478,1863940231679885800,7,Irrelevant,[],2025-03-20 09:42:18.355473,0 days 00:00:35.888000
479,1800452572391809300,7,Negative,[],2025-03-20 09:42:36.938253,0 days 00:00:17.794000
480,1750741071687250200,7,Irrelevant,[],2025-03-20 09:42:58.627905,0 days 00:00:21.265000
483,1848838599325741300,7,Negative,[],2025-03-20 09:45:24.758496,0 days 00:00:10.627000
484,1862306773987742200,7,Positive,['Blood libels and religiously based antisemitism'],2025-03-20 09:46:45.487772,0 days 00:01:20.208000
486,1731053368863572000,7,Positive,['Blood libels and religiously based antisemitism'],2025-03-20 09:47:36.190169,0 days 00:00:45.347000
488,1794905651896037600,7,Irrelevant,[],2025-03-20 09:47:55.923594,0 days 00:00:15.873000
489,1848455235670352000,7,Irrelevant,[],2025-03-20 09:47:58.890673,0 days 00:00:02.383000
1398,1822947632408621000,8,Negative,[],2025-03-23 19:39:49.805181,0 days 00:00:13.377000
1401,1772581333740695800,8,Irrelevant,[],2025-03-23 19:41:43.426066,0 days 00:00:08.337000
1402,1868656476325384400,8,Irrelevant,[],2025-03-23 19:42:34.816710,0 days 00:00:50.818000
1403,1822908110224433700,8,Negative,[],2025-03-23 19:42:54.975957,0 days 00:00:18.412000
1409,1801719255395930400,8,Positive,['Other'],2025-03-23 19:48:04.705605,0 days 00:02:03.470000
1410,1821126967413948700,8,Negative,[],2025-03-23 19:48:17.349821,0 days 00:00:12.166000
1411,1872825999018345000,8,Negative,[],2025-03-23 19:48:26.232282,0 days 00:00:08.171000
1412,1856464232323428900,8,Negative,[],2025-03-23 19:48:32.843634,0 days 00:00:05.934000
1416,1889491115826389200,8,Irrelevant,[],2025-03-23 19:52:08.586841,0 days 00:00:57.400000
1417,1888768167796973600,8,Positive,"['Calls for harming/killing Jews', 'Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-24 07:40:05.110160,0 days 00:00:08.933000
1423,1856167385222324700,8,Negative,[],2025-03-24 07:43:04.195493,0 days 00:00:07.234000
1424,1886932832519676400,8,Irrelevant,[],2025-03-24 07:43:16.481897,0 days 00:00:11.856000
1425,1889721368196903200,8,Negative,[],2025-03-24 07:43:24.936966,0 days 00:00:07.937000
1439,1836505740493885400,8,Irrelevant,[],2025-03-24 07:58:26.235104,0 days 00:02:17.847000
1441,1899949203763437800,8,Negative,[],2025-03-24 08:01:11.346805,0 days 00:00:27.556000
1442,1817118865392042200,8,Negative,[],2025-03-24 08:03:51.670091,0 days 00:02:38.416000
1443,1823834267807572200,8,Negative,[],2025-03-24 08:04:02.138141,0 days 00:00:09.848000
1444,1867403865290944800,8,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-24 08:04:52.503359,0 days 00:00:49.891000
1446,1829976242235294000,8,Negative,[],2025-03-24 08:07:33.773564,0 days 00:00:15.813000
1447,1847064136821493800,8,Negative,[],2025-03-24 08:07:43.797702,0 days 00:00:09.108000
1448,1830131353163276500,8,Negative,[],2025-03-24 08:08:00.794448,0 days 00:00:16.293000
1460,1873558881571569700,8,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-24 08:13:23.873197,0 days 00:00:21.965000
1556,1832896855212262000,15,Negative,[],2025-03-24 09:14:52.927449,0 days 00:00:04.218000
1557,1789208574952096000,15,Negative,[],2025-03-24 09:14:54.596933,0 days 00:00:01.373000
1558,1803256503010468000,15,Negative,[],2025-03-24 09:14:57.002764,0 days 00:00:02.116000
1559,1876803771050721500,15,Negative,[],2025-03-24 09:14:58.567076,0 days 00:00:01.291000
1560,1796661373210136800,15,Negative,[],2025-03-24 09:15:01.520529,0 days 00:00:02.632000
1561,1796467142906560800,15,Negative,[],2025-03-24 09:15:05.359758,0 days 00:00:03.464000
426,1798674639553806300,11,Negative,[],2025-03-20 09:11:26.404383,0 days 00:00:11.384000
430,1856151245762838800,11,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Other']",2025-03-20 09:14:02.058648,0 days 00:00:49.363000
431,1895251361278894300,11,Positive,"['Calls for harming/killing Jews', 'Demonization of Jews (portraying them as inferior and despicable)']",2025-03-20 09:14:35.569390,0 days 00:00:33.020000
433,1776135526304961000,11,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Calling for violence and hostility against Israel']",2025-03-20 09:16:12.619918,0 days 00:01:25.416000
434,1822823889338356000,11,Irrelevant,[],2025-03-20 09:16:32.029988,0 days 00:00:19.030000
436,1789609992594895000,11,Positive,"['Calling for violence and hostility against Israel', 'Other']",2025-03-20 09:19:45.553730,0 days 00:02:07.647000
439,1816909216680223200,11,Positive,"['Other', 'Demonization of Jews (portraying them as inferior and despicable)', 'Cynical use of the Holocaust and Holocaust denial', 'Blood libels and religiously based antisemitism']",2025-03-20 09:20:54.113250,0 days 00:00:54.985000
440,1794857368645444000,11,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Calling for violence and hostility against Israel', 'Other']",2025-03-20 09:21:31.590876,0 days 00:00:37.095000
442,1712170219047616800,11,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist"", 'Calling for violence and hostility against Israel']",2025-03-20 09:22:20.436953,0 days 00:00:37.984000
444,1750342962561835300,11,Irrelevant,[],2025-03-20 09:22:43.098012,0 days 00:00:04.385000
445,1883343052980548000,11,Positive,"['Demonization of Jews (portraying them as inferior and despicable)', 'Blood libels and religiously based antisemitism']",2025-03-20 09:23:07.556721,0 days 00:00:24.088000
447,1885947749100892700,11,Positive,"['Applying double standards to Israel that are not applied to other states (double standard)', 'Calling for violence and hostility against Israel', 'Comparing Israel and its policies to Nazi Germany', 'Other']",2025-03-20 09:23:59.729782,0 days 00:00:37.237000
448,1822962536616014000,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:24:19.709252,0 days 00:00:19.625000
450,1880394850111222000,11,Positive,['Calling for violence and hostility against Israel'],2025-03-20 09:24:43.123577,0 days 00:00:16.700000
451,1840632234878910700,11,Irrelevant,[],2025-03-20 09:24:57.418143,0 days 00:00:13.899000
453,1806605841057173800,11,Irrelevant,[],2025-03-20 09:25:31.969653,0 days 00:00:12.001000
454,1786902103988097000,11,Negative,[],2025-03-20 09:25:40.564172,0 days 00:00:08.245000
456,1838329505712136200,11,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-20 09:26:10.462084,0 days 00:00:19.235000
458,1884264526973133000,11,Irrelevant,[],2025-03-20 09:27:41.790553,0 days 00:00:14.346000
459,1872825999018345000,11,Irrelevant,[],2025-03-20 09:27:50.371704,0 days 00:00:08.207000
