content,sentiment,decision_source
@Craig_Foster I gather you're not coping?,Irrelevant,User agreement
Could the fact that @SenatorWong has met with convicted kidnapper Nasser Mashni (who is also the son of alleged terrorist Shaher Hussein El-Mashni ) explain why @SenatorWong & @AustralianLabor seemingly reward violence & terrorism ?,Negative,User agreement
"Kanye: Jews responsible for sexualising Christian women.

Also Kanye:",Positive,User agreement
"A privilege to represent the Australian Jewish community and to join with the @worldjewishcongress family, world leaders, and most of all, survivors, to be at this most meaningful of events.",Negative,User agreement
"Calm is when Gaza is bombed, villages are invaded, homes are bulldozed, journalists are shot, ambulances are attacked, mosques are vandalized, schools are tear-gassed, and Palestinians are massacred 

Calm shattered is when Palestinians finally respond",Positive,User agreement
"We mourn Captain Lior Sivan, an Australian-born Israeli. Lior made the ultimate sacrifice fighting an evil that would destroy every Jewish life if it had the means. People like Lior Sivan are the difference between Jewish life and Jewish death. He is a hero in the truest meaning of the word. By all accounts he was a special human being and the pain of his loss is sharpened by the knowledge he leaves a heavily pregnant wife, and a 2 year old son. The Jewish world will forever be grateful to Lior and every fallen soldier who has died so that Israel may live.",Negative,User agreement
Things got a little belligerent at yesterday's press conference. Can't let the media repeat Hamas casualty figures unchecked.,Negative,User agreement
@hayasaka_aryan Fact Checked: True ✅️,Irrelevant,User agreement
"Sent to me by a friend - 

Banking 
Our hopeful future PM, Albo walked into a bank to cash a cheque

When he's called over to the teller, he says, ""Good morning, could you please cash this cheque for me?""

The teller replied, ""It would be my pleasure sir. Could you please show me your ID?""

Albo said, ""Truthfully, I didn't bring my ID with me as I didn't think there was any need to. I'm the leader of the Labor Party of Australia.""

The teller said, ""Yes sir, I know who you are... but with all the regulations and monitoring of the banks because of impostors, forgers, and requirements of the legislation etc., I must insist on seeing ID.""

Albo said, ""Just ask anyone here at the bank who I am and they'll tell you. Everybody knows who I am.""

The teller said, ""I'm sorry, Mr Albanese, but these are the bank rules and I must follow them""

Getting a bit agitated, Albo snapped, ""C'mon woman, I'm urging you, please, to cash this cheque..""

The teller said, ""Look Mr Albanese, here is an example of what we can do. One day, Tiger Woods came into the bank without ID. To prove he was Tiger Woods, he pulled out his putter and made a beautiful shot across the bank into a cup. With that shot we knew him to be Tiger Woods and cashed his cheque.

""Another time, Patrick Rafter came in without ID. He pulled out his tennis racket and made a fabulous shot where the tennis ball landed in my cup. With that shot we cashed his cheque. So, Mr Albanese, what can you do to prove that it is you, and only you?""

Albo stands there thinking, and thinking, and finally says, ""Honestly, my mind is a total blank... there's nothing that comes to my mind. I can't think of a single thing. 
I have absolutely no idea what to do... and I don't have a clue.""

With a big smile, the teller said, ""Will that be large or small notes, Mr Albanese?",Negative,User agreement
@hayasaka_aryan @AFpost,Irrelevant,User agreement
"Jonathan Glazer spoke the words: we stand here as men who refute their Jewishness. What is curious about this is that had someone refuted their black or Asian identity they would be branded a fool or a turncoat with internalised hatred. But Glazer won applause. This is because to many, being Jewish means belonging to an ultra-privileged, elite white sect of capitalists. It's like being a Freemason or belonging to a gentlemen's club. The whitest of the white elite. 

Glazer's gesture is an attempt to have it all. He is a hero of the hard-left now but still gets to keep his privilege. 

But to those of us who aren't Glazer, being Jewish does not mean that at all. It means belonging to an ancient people who founded monotheistic belief and the ethics and human dignity that stems from it. It means living with rich traditions and a sense of mission. It means belonging to a nation of contributors, survivors, outsiders. 

We've gotten this far without poor dumb schmucks like Glazer and we'll be just fine without them.",Positive,User agreement
"@Malcolm_XY_ ""The truth goes against our community standards, your account will be flagged and labelled as hate speech""",Negative,User agreement
"30,000+ shut down Melbourne and demand a ceasefire and an end to Israeli apartheid, impunity and war crimes!",Positive,User agreement
"Calendar Saga: Chapter II. 

Source: Trust me bro.",Irrelevant,User agreement
"Whistleblowers at The British Telegraph have placed a target on Lebanon's airport, falsely claiming with #ZERO evidence that Hezbollah uses it for military purposes. 

The war propaganda on Lebanon has officially begun.",Negative,User agreement
"Instead of killing millions of chickens because of Bird Flu, couldn't we just lock them down in the coop for several weeks to ""flatten the curve""? 🤔",Irrelevant,User agreement
@GarbageHuman24,Irrelevant,User agreement
"Naarm/Melbourne. Out loud and proud!

Thanks for the advertising @AlboMP @PeterDutton_MP",Irrelevant,User agreement
@PPC4Liberty Love is love ❤️,Irrelevant,User agreement
@craigkellyXXX Wasn't he talking about a seaweed supplement here?,Irrelevant,User agreement
"Trump was shot at a rally earlier today. The bullet just missed his head and only knicked his ear. The shooter was shot dead and so was an innocent bystander. 

Why is this man's life valued more than a Gazan's? He gets global coverage within minutes, while 186,000* Gazans have been killed in nine months, and no one batted an eye. 

Stuff your ex-presidency status! Stuff you western world! Stuff your double standards!",Negative,User agreement
Hello non-Palestinians: it truly is not that hard to de-centre yourself when anyone talks to you about Gaza or Palestine. Your feelings are quite frankly irrelevant in all this. It's not about you.,Negative,User agreement
"⁉️Australia⁉️🇦🇺 WTF 🤯

We are one of the biggest Gas suppliers in the world. 

We are exporting to countries in Europe, China, and around the world.

Europeans are paying less for their Gas than we do in Australia 😡",Irrelevant,User agreement
"Anita Cobby 💔 will never be forgotten. What she went through is unimaginable. 
Eternal peace Anita 🙏",Irrelevant,User agreement
"In January, Israeli historian Lee Mordechai released a 124 page report with 1,400 footnotes detailing evidence of Israel's genocide. How many of you heard about it? Did any Western papers cover it?",Positive,User agreement
"@drPLeach Join my club, I did this last week. I even went to the event venue figured out I had the dates wrong when I noticed there were no cars there. The event is tomorrow 😂",Irrelevant,User agreement
"Australia's fixation on flags at the weekend's Palestine and Lebanon solidarity protests is a dangerous distraction from Israel's escalating violence in the region. 

This misplaced outrage highlights a disturbing truth: Arab lives are viewed as expendable. 

Australia must act to end Israel's brutal campaign of violence in Palestine, Lebanon and beyond.

Read more - https://t.co/PNHBt409Ln",Positive,User agreement
@BGatesIsaPyscho @GBNEWS They'll never stop bringing them in. My bro eas friends congolese Africans they told him they had to sign a contract to sign up to military when they were accepted into Aus.,Negative,User agreement
"APAN strongly condemns the Aust Govt decision to pause funding to UNRWA, and urges it to immediately change course and reinstate this funding as part of its obligation to prevent genocide in Gaza.

@SenatorWong @AlboMP @TimWattsMP @MarkDreyfusKCMP #auspol",Positive,User agreement
"@SkyNewsAust This just sums up where we are as a country, the worst prime minister in history taking pics with the worst ""athlete "" to ever put on the green and gold, both are a disgrace.",Negative,User agreement
If you know you know 👀,Irrelevant,User agreement
@SkyNewsAust Why would they want to get a job they just put there hand out and uncle albo reaches in to OUR pockets.,Irrelevant,User agreement
"Have to love the fact that the Australian PM is so stupid that he just J pilled Parliament by reading this meme 🤣

""Every Single Time""",Negative,User agreement
"Today, Yarden Bibas was redeemed from Gaza. 

We need Shiri, Ariel and Kfir back. They need to be a family again 💔",Negative,User agreement
"60,000 people in Gadigal/Sydney demanding #CeasefireNOW and Australian Govt ends complicity with Israeli genocide of Palestinian people!",Positive,User agreement
"Anthony Albanese addressed a major gathering of Australian Aboriginal elders in Darwin.
He spoke for almost an hour about his plans for increasing every Aboriginal's present standard of living.
Though vague in detail, he spoke about his ideas for helping his ""sisters and brothers.""
Afterwards, the elders presented him with a plaque inscribed with his new native language name, which translated into English as ""Walking Eagle"", which he proudly accepted.
After ALBO left, a news reporter asked the elders how they came to select this name.
They explained that ""Walking Eagle"" is the name given to a bird so full of shit it can no longer fly!👍🇦🇺
🤭😉",Negative,User agreement
@LiangRhea @SerkanTheWriter Remember there is no fuel so you can't even transfer people in vehicles. They expect people to walk or be pushed in ward beds and wheelchairs for 7-8 hour journey to areas that are being bombed in the South. Nowhere is safe. Not to mention no analgesia for post surgical patients.,Negative,User agreement
"APAN welcomes the overnight ruling by the ICJ that Israel's 57-year-old occupation of, and construction of settlements in, Palestinian territories is illegal, and that the state's actions meet the legal definitions of apartheid.

Read more -",Positive,User agreement
#BlockTheBoat,Positive,User agreement
@cctvidiots,Irrelevant,User agreement
"Melbourne, Australia - large numbers of Hezbollah terrorists supporters march chanting ""death to Jews""

@VictoriaPolice & @VicGovAu fail to act despite such conduct being a criminal offence & Hezbollah being a proscribed terrorist organisation 

Shameful",Negative,User agreement
@Peter_Fitz,Irrelevant,User agreement
"This is like saying that Jews were responsible for the Holocaust. It is racist, genocidal Nazi talk",Negative,User agreement
@TomatoBubble I dont like juice,Irrelevant,User agreement
@SenatorWong @WSJ But not Julian Assange (an Australian citizen),Irrelevant,User agreement
Israelis felt like Palestinians for a day and apparently they didn't like it.,Positive,User agreement
The firebombing of a synagogue in Melbourne early this morning has brought our community to new depths of sorrow. It is also an entirely predictable development. For over a year we have seen racist mobs impeding on the rights and freedoms of ordinary Australians. We have been locked out of parts of our cities because the police could not ensure our safety. Students have been told to stay away from campuses. We have been locked down in synagogues. Our security and place in society has been eroded. No more. I urge every Jewish Australian to do something today to deepen their connection to their community and their people. Light Shabbat candles. Put on teffilin. Put on a kippah. Give to charity. Put on a Star of David necklace. Do not be afraid. You belong to an extraordinary nation. And I urge our Prime Minister and our government to contemplate and reflect on how it has come to this. How under their leadership a house of prayer has been burned. How decent Australians now question whether they have a place in this country. We have been led into a period of darkness. It is time to bring the light and clarity to guide us out.,Negative,User agreement
Has anyone on here actually lived long enough to buy a second bottle of Worcestershire sauce?,Irrelevant,User agreement
@AlboMP Yesterday you were shekh albo today your transalbo what will you be tomorrow ???,Irrelevant,User agreement
Australia does not claim this clown.,Irrelevant,User agreement
Ain't that the truth!!! 👊😎,Irrelevant,User agreement
Israel has killed more Palestinian children over the last 40 days than the total number of Israelis killed by Palestinians since the creation of the state of Israel,Positive,User agreement
"This headline is racist af. Had to bend over backwards not to say Palestine. Documenting ethnic cleansing is only ""controversial"" to hate-filled supremacists",Positive,User agreement
"@PollyRendall I don't know how it ended up on my phone last night. But even if so, she was another of the hostages tortured by Palestinians.",Negative,User agreement
"Your private family humiliation is responsible for a significant portion of the world's problems and the current genocide in Palestine, so no, we will (unfortunately for all of us) stare at this nightmare",Positive,User agreement
"Did you know that Sydney public school, Granville Boys High, produced terrorists & ISIS members like Ahmed Merhi ?

Last week students chanted ""Allah Akbar""

Granville is in the federal electorate of Baxland, which is held by @AustralianLabor & education minister @JasonClareMP",Negative,User agreement
"Your ""humanitarian pause"" is an ongoing audit of the dead.",Negative,User agreement
"UN Special Rapporteur on the occupied Palestinian Territories Francesca Albanese describes Australia's stance to date on Israeli war crimes in Gaza as 'historical amnesia, myopia and living in an alternative reality.'

@pressclubaust  @franceskAlbs",Positive,User agreement
@FuriousGoy304 @Real_Comfyfren The centre is a barren wasteland,Irrelevant,User agreement
"Israel's operation at Gaza's Shifa hospital has been masterful. Hamas and Islamic Jihad re-established command centres in the hospital, a flagrant war crime which makes the hospital a lawful military target and endangers Palestinian medics and patients. Israeli commandoes encircled the compound, killed 140 terrorists and captured some 400, including senior commanders. No patients or medical staff were killed. 2 Israeli soldiers fell in battle. A severe blow has been dealt to the terror groups increasing the likelihood of a negotiated ceasefire and hostage release and bringing us closer to the end of Hamas.",Negative,User agreement
"Bendigo, Victoria, Australia - gang of youth attack a shopping centre security guard ripping off his turban & stomping on his head

@AustralianLabor & @JacintaAllanMP have lost control on crime

Their weak approach to bail laws has made ALL Australians unsafe

via @theheraldsun",Negative,User agreement
Hmmm thoughts 🤔,Irrelevant,User agreement
😮 Definitely Not 👎🏽,Irrelevant,User agreement
"I trust the Australian Federal Police are busy gathering evidence to charge Australians serving the terrorist state of israel committing heinous war crimes. I trust they'll be arrested & charged upon arrival
Cc @AlboMP
#IsraeliNazis #GenocideinPalestine #FreePalestine #auspol",Positive,User agreement
@Abdullah_Om3r03,Irrelevant,User agreement
The only thing you look indigenous to is a sunburn,Irrelevant,User agreement
Tens of thousands of people take to the streets of Naarm/Melbourne demanding #CeasefireNOW and an end to Australian Labor Party support for Israeli genocide! #FreePalestine,Positive,User agreement
"🇱🇧🇾🇪 #Lebanon and #Yemen's solidarity is nothing new. 

If you hold an Israeli passport, you will be denied entry to Lebanon and Yemen. Not just that, even if you have a Non-Israeli Passport I.e. Australian Passport and have an Israeli visa/stamp on your passport, you will still be denied entry and possibly detained.",Negative,User agreement
Lebanese people don't want to leave their loved ones and lands. They want the expansionist genocidal zionist entity to stop bombing their homes in its bid to colonise the area.,Positive,User agreement
Playing catch up here - but terribly disappointed to read some of Roxanne's both sidesing. Reprehensible and beyond reproach.,Irrelevant,User agreement
"When all this is over and Palestine is inevitably free, I do not know how a lot of you will look us in the eye - or even yourselves in the mirror.",Negative,User agreement
Canberra people showing up!  #CeasefireNOW - the very least the Australian Government can demand!,Negative,User agreement
History will write that countries pretending to help Palestine still allowed 'israel' to use their airspace to fly bombs over to Gaza.,Positive,User agreement
@medeabenjamin Great work Medea! You are a shining light in the darkness!,Irrelevant,User agreement
@da_underlord E.S.T,Irrelevant,User agreement
"🇵🇸30,000 people rally and march in #Gadigal / #Sydney for justice in Palestine, demanding #CeasefireNOW, an end to Israel's #genocide of Palestinian people and the illegal blockade of Gaza and for @AlboMP Labor govt to stop supporting genocide. #FreePalestine",Positive,User agreement
The Irish don't play. Solidarity forever,Negative,User agreement
This fucking loser has nothing to say about the Ukrainian Kursk offensive because his superiors haven't given him his lines yet.,Negative,User agreement
"@muhammadshehad2 where are all the Doctors in the world, protesting , demanding  that there Government do something about this .what sort of world do we live in when this is happening on a daily basis",Negative,User agreement
"The site of the Nova Festival massacre at dusk reminded me of country New South Wales. The crisp air, the light flickering through the trees, the feeling of calm. I performed the mitzvah of teffilin in honour of those who came to dance and were halted by those who came to disfigure and violate. May the souls of the tortured and slaughtered be at peace and may they be avenged.",Negative,User agreement
@Abdullah_Om3r03,Irrelevant,User agreement
@david_r_morgan Facts!,Irrelevant,User agreement
@_NicoleNonya Yep. This is the maggot that will be voted in as PM of Australia next year. He posted this yesterday. Australians are Fucked.,Negative,User agreement
"In response to all the recent calls, text messages, and DM's about my dog.

Please be advised, I am sick and tired of answering questions about him.

Yes: 

-He bit Two people wearing burkas.

-Ten People wearing a keffiyeh.

-Twenty people wearing Anthony Albanese T- shirts.

-Four Jehovah's Witnesses.

-Two Mormons.

-Nine tall & skinny teenagers with masks & their jeans hanging down past their ass. 

For The Last Time:

THIS DOG IS NOT FOR SALE.",Negative,User agreement
"BREAKING:

🇬🇧 The new British aircraft carrier ""Queen Elizabeth"", worth 3.5 billion has broken down off the coasts of England

The Royal Navy was scheduled to travel to the Middle East to take part in combat operations against the Houthis along with other NATO ships.",Negative,User agreement
History will write that people that drank Coca Cola and ate McDonalds helped fund the massacre of innocent people.,Negative,Pro user
"Inna Lillahi wa inna ilayhi raji'un
Another journalist murdered by the occupation. This is the greatest shame of our times. An asymmetrical war by a nuclear power state against an occupied, impoverished people with zero regard for innocent life.",Negative,Pro user
Central Station Gadigal/Sydney now. Organised by Students for Palestine at UNSW and USyd. #StopGenocide #CeasefireNOW,Positive,Pro user
When governments fail - we sail! Get on board the #freedomflotilla to Gaza.,Positive,Pro user
"We have never seen such scale of global solidarity for Palestine & Zionists are getting desperate. They will do anything to undermine our movement - violence, dirty tactics, baiting us & preying on us - please support & look out for each other. Keep your focus steady.",Positive,Pro user
'Absolute priority': Peter Dutton urged to 'pull out of the Paris Agreement',Irrelevant,Pro user
"I thought someone had done this as a joke. 
It's not a joke. 

Pope Francis inaugurates nativity scene in Vatican showing 'baby Jesus' on a keffiyeh.",Negative,Pro user
And she's rocking a watermelon t-shirt in the shape of Palestine!,Irrelevant,Pro user
I wonder why the Pope is still silent regarding the Olympics opening ceremony 🤔✡️🇮🇱🕎,Positive,Pro user
@PeterDutton_MP No one cares about this shite - Australians have censorship on their minds. You've lost your way and many votes.,Irrelevant,Pro user
"@AlboMP @abcnews You are a war criminal @AlboMP ! 

You should be so ashamed of yourself after protesting Israel for years, you finally get the chance to make a change for innocent civilians and you throw them under the bus. 

How do you sleep at night!",Positive,Pro user
"Why do the Yes voters keep on insisting that the referendum is about unity when we are being asked to vote on dividing Australians into two different races, the Aboriginals & the rest of us? Can they explain how they can have unity in division?",Negative,Pro user
Why isn't MSM talking about a 🇮🇱 bomb put on a car in Sydney?,Positive,Pro user
"@48fyn4vpprP @wayotworld @AFpost Evangelical, so may as well be jewish",Positive,Pro user
"Let me get this straight: state leaders have permitted neo Nazi and transphobic protests to go ahead, but anti colonial, pro Palestine rallies are where they draw the line?",Positive,Pro user
Tremendous mobilisation #FreePalestine,Positive,Pro user
"An oppressor is an oppressor. A colonizer is a colonizer. An occupier is an occupier.  Whether you're Black, brown, queer, trans, male, female or non binary, committing genocide against native people is wrong. Not that difficult.",Negative,Pro user
@BGianna1983 @RheenSister @SenatorRennick He posted facts about the jews lol 😆  can't be having that can we,Positive,Pro user
"""Every country has an idiot. America has Trump. Australia has Peter Dutton"". A sincere warning from Melbourne leader against voting for racist & evil Peter Dutton. #auspol #IsraelIsATerroristState #FreePalestine",Positive,Pro user
"""Wong's framing of this genocide as a ""conflict,"" a ""war"" is a gross misrepresentation of reality. This is not a conflict between two equal sides, nor is it a matter of ""divergent perspectives."" It is a systematic campaign of genocide and ethnic cleansing aimed at erasing Palestinians from their homeland, and Australia's handwringing over neutrality and ceasefire is nothing short of complicity.""

-APAN President, Nasser Mashni

Read the full statement through the link: https://t.co/h5X1mLdNUQ

Published today on the 8th of Nov 2024, in the Pearls and Irritations John Menadue's Public Policy Journal.  

@johnmenadue 

#auspol",Positive,Pro user
"I ain't reading all that.
Free Palestine ✌🏽 🍉",Positive,Pro user
@DrVicFielding No one believes your tripe after you intentionally tried to disinform people earlier in the week re the polls,Irrelevant,Pro user
@GarbageHuman24 Silly goys,Irrelevant,Pro user
"Not every Viking was blonde. But all of them were white.

Hope this helps.",Negative,Pro user
Block the boat solidarity action against Israeli shipping line ZIM in Port Botany!,Positive,Pro user
@barrystantonGBP It's a concept some find hard to shake.,Irrelevant,Pro user
"If you want to argue that Peanut's owner should have had a license, fine.

But, government agencies seem intent on punishing citizens rather than helping them. Want the dude to get a license? Help him. Offer resources.

You don't kill a dude's animals over a piece of fucking paper.",Irrelevant,Pro user
I can't believe the silly @abcnews is fighting @antoinette_news. Stop wasting tax-payer $$$ and 1. Surrender 2. Pay her a lot of money 3. Apologise 4. Reinstate her. #FreePalestine #auspol,Positive,Pro user
"Protest in Canberra at Israeli and US Embassies. 
#CeasefireNOW 
#SanctionsNOW
#StopBombingGaza
#FreePalestine",Positive,Pro user
@loffredojeremy @MaxBlumenthal It's true. Epstein was mossad.,Positive,Pro user
@david_r_morgan @AFpost Society has its priorities all wrong,Irrelevant,Pro user
@therealrukshan Bring your dogs too! Might help disperse the protesters,Irrelevant,Pro user
Today is Alboloney meme day! Let him know what you think of him.....👊😎😝,Irrelevant,Pro user
"@PaulineHansonOz Pauline, why did you and Malcolm support the hate speech bill? Unfortunately you've lost my support",Irrelevant,Pro user
"Patricia Karvelas out-of-line questioning, badgering, sneering in disdain at her sole Palestinian guest is completely unethical, and a stain on journalism. She is nothing but a stenographer for a racist, pro-genocidal lobby.",Negative,Pro user
"@JeremyPoxon @FranceskAlbs @iamthenas You tell 'em Francesca! What an appalling episode we had to watch last night. God knows we wouldn't have watched it if it wasn't for both you and Nasser, anyway.",Irrelevant,Pro user
"@AlboMP doesn't have the right to project his own meaning onto, or to determine, the language that Palestinians use to call for liberation from 76 years of violent Israeli colonial oppression.

Yalla. Share and tag!",Positive,Pro user
@VDejan0000 It literally happens every year for the past three - they can get fucked because we ain't listening,Irrelevant,Pro user
"Thank you @FedSquare and @cityofmelbourne for standing up to the Israeli lobby pressure. 

Palestine belongs!

Australian Palestinians belong!

Our pain and suffering must be acknowledged like any other communities. 

A beautiful, somber and moving evening

Free Palestine!",Positive,Pro user
"Outside Elizabeth Warren's office 

""Warren, Warren, you can't hide. You're signing off on genocide""",Positive,Pro user
@AlboMP Fuck off - we are the parents. You're out in your arse at the next election over this.,Irrelevant,Pro user
"#BlockTheBoat across Australia too, inc 8 and 11 Nov. Info re Zim shipping via @GreenLeftOnline",Positive,Pro user
"@cirnosad Putin has massive jewish influence upon him from what I've read. I hope I'm wrong. He should just fuck them up militarily. He won't tho, coz Jews",Positive,Pro user
🧵I seem to have attracted the attention of racists and bigots including hasbara trolls. Thank you for showing us how vile you truly are. All you do is spread hate. I've had people asking me to get a blood test to prove I'm Aboriginal and then telling me I should be deported.,Negative,Pro user
"@KarlRadl When the ✡️ shows you what they are, believe them.",Positive,Pro user
@GadSaad Care to share? I'd love to see your take down. I did it recently myself with my kids school where the teacher told them Harris is good and Trump is bad. I'm in Australia,Irrelevant,Pro user
@da_underlord Open borders for Israel is the only way.,Positive,Pro user
@DrKarimWafa Funny that talk about contradictions,Irrelevant,Pro user
"Australia's intolerable level of antisemitism is the product of having a socialist left @AustralianLabor Govt, who are notoriously anti-Israel & anti Judeo-Christian values",Negative,Pro user
@An89390Anglo @davidicke The Globalists are the jews BTW,Positive,Pro user
"Remember Seldowitz's video of his Islamophobic tirade that surfaced real quick on social media over the past 48 hours? Well this is what we done together in 48 hours:

- Seldowitz lost his job
- Government Relations firm said that it will cut off all ties with Seldowitz 
- Law firm offers free representation for the victim
- Seldowitz is taken into custody.",Negative,Pro user
"From Gadigal to Gaza. When governments fail, we sail! 3 ships, 5,500 tons of aid and hundreds of human rights observers due to leave Istanbul for Gaza in mid-April. Honoured to speak at rally for @GazaFFlotilla 
Donation opportunities via",Positive,Pro user
"⚠️ Be wary of shifting rhetoric.

In a meeting yesterday with local council heads in southern Israel, Prime Minister Benjamin Netanyahu made an important shift in addressing the war against Hamas.

""We will not stop until we destroy Hamas's terrorist capabilities."" 

It was the first time Netanyahu did not say ""destroy Hamas,"" but rather ""destroy Hamas's capabilities.""

It is becoming clear that Israel will not erase Hamas from existence. 

As we have noted, all Hamas need do to win is survive. 

If Hamas still exists, then it won the war and the destruction of Gaza notwithstanding.

So if Hamas is still there, Israelis won't move back to their homes in southern Israel, and Hamas will have succeeded in ""liberating"" the land.",Positive,Pro user
"Ramy Youssef on SNL, ""God, please stop the suffering. Stop the violence. Please free the people of Palestine, please.""",Positive,Pro user
Glad to farewell our first assisted departure flight from Ben Gurion Airport.,Negative,User agreement
@271katbest @NextWaveAmerica ⚡️ o/,Irrelevant,User agreement
Guy living in Malaysia thinks he's on the team,Irrelevant,User agreement
"Join your nearest rally this Global Day of Action for Palestine - Saturday 13 January - and demand that the Australian Government stops enabling israeli genocide and apartheid.

#FreePalestine #CeasefireNOW #gaza #EndTheGenocide #auspol",Positive,User agreement
"Do zionists write your Tweets, Minister? 
Because at this stage, this is plain propaganda and dangerous disinformation that you are perpetrating. 

I'm embarrassed that you think people are still buying it.",Positive,User agreement
"@darrengrimes_ He isn't saying it's ""obscene guilt"" as in ""the Holocaust isn't worthy of guilt.""

He is saying they are guilty. 

Why are Zionists always so unable to understand English and turn everything into victimhood.",Positive,User agreement
"From Gadigal to Gaza we demand:
Stop the Genocide
#CeasefireNOW 🍉🇵🇸",Positive,User agreement
... especially as Israel attempts to block and demonise our global movement to #BreakTheSiege of Gaza. See some of their work at,Positive,User agreement
"Cars have been vandalised with anti-Israel slogans and set alight in Sydney's eastern suburbs. The anti-Israel movement has been growing progressively more extreme, more violent and more indifferent to who it harms. It wasn't stopped at the Opera House steps. It wasn't stopped at the pro-Hamas encampments. And it wasn't stopped at the hate preachers. Now Australians are waking up to find their property destroyed and their suburbs violated.",Negative,User agreement
"Big difference between saying this & what she actually said - inshaAllah.. an everyday term for 'God willing'/ leaving it up to God. 

That's hardly the point, though, is it. You fall over yourselves to demonise Muslims. The islamophobia is shameless.",Negative,User agreement
"@LastDayShari @kokoneen @AEQEA @stillgray @TTEcclesBrown Exactly. Woman can read this video very different to someone who isn't used to having to worry about their safety all their lives. Not to mention, just because a secondary person pays for a meal it has absolutely no impact on whether they get any sexual activity at the end.",Irrelevant,User agreement
There is something brown about being really into sports cars.,Irrelevant,User agreement
"Hey @PeterDutton_MP 

What Australia needs now is leaders who appeal to our once proud humanitarianism, not politicians who divide and discriminate.

Australians have had enough of this divisive rhetoric!",Negative,User agreement
"All eyes on Gaza, all eyes on Rafah, on Palestine. The genocide is escalating. This horrific mass murder and starvation must be our focus.",Positive,User agreement
"@_NicoleNonya @WhichWayWestMen I agree. I didn't know he was in with the Jews til I saw some photos recently. Everything that is happening is plotted by the Jews. Jew Trump, the Ukraine war...khazarians are going home. Fuck fuck fuck",Positive,User agreement
@ceolawyer,Irrelevant,User agreement
"@gumby4christ @_whitneywebb Whitney Webb reposted it so I Beleive it. Trump coin, giving the Jews the right to take labd houses and basically lives from West Bank citizens. Antichrist doing his thing...",Positive,User agreement
"I am born in Australia

I am a proud Australian Jew.

The ""pile on"" of vitriol & hate that I am a subjected to on ""X"" articulates the deep undercurrent of hate & #antisemitism that exists in Australia",Negative,User agreement
"‼️ALL EYES ON RAFAH‼️

APAN demands that the Australian Government urgently acts to pressure Israel to abandon its attack on Rafah and to end its genocide in Gaza.",Positive,User agreement
Solid protest at Port  Botany and now at Mascot police station demanding release of people unlawfully arrested. Lots of tips for future actions to #BlockTheBoat from @WorkersinPales1,Negative,User agreement
@AlboMP Just call the election already,Irrelevant,User agreement
.@amnesty is a key part of the propaganda machine for the most violent anti-western forces. Shame.,Negative,User agreement
@EscanorReloaded,Irrelevant,User agreement
"I have distant relatives in Gaza who were inside St Porphyrius Church when it was targeted in an Israeli airstrike last week. They were unharmed. Just found out they want to stay in Gaza because it disrupts the West's idea of Christians not existing in Palestine, let alone Gaza.",Positive,User agreement
Retract and apologise is the bare minimum you owe us @SenatorWong . You are shameless and an embarrassment.,Irrelevant,User agreement
There is literally no one they have not accused of being an antisemite. Delusional.,Negative,User agreement
🚨 #BoycottWoolworths They don't deserve our money,Irrelevant,User agreement
@AdamBandt 🤣🤣 this communist idiot reckons he knows what's good for our wallet. The best thing for our wallet is for your greens and albos labor to be booted out of office asap.,Negative,User agreement
"Israel has killed more civilians over the last 15 days than Hamas has killed in 30 years.

If you want to talk about terror, violence, and crimes against humanity, it rests with the occupier, Israel.",Positive,User agreement
"My message to Victorian Premier @JacintaAllanMP 

It's time @VictoriaPolice @VicGovAu & @JacintaAllanMP took their legal obligations to prosecute those who incite hatred for Jews & support of terrorism seriously

@ZionistFedAus @australian @theheraldsun @SkyNewsAust @theage",Negative,User agreement
"""They hate us because we're Jewish!""

No, you're hated because you're violent colonizers",Positive,User agreement
@mike1010011 @GarbageHuman24 Which ones? I know the Arabs don't mess about. Don't know if any black countries that do it though,Negative,User agreement
@TimWattsMP No Tim you are. Pity you will lose a lot of votes over this mate,Irrelevant,User agreement
"Lebanese-Australian community leaders say there are huge numbers of Australians who want to get out of Lebanon but can't, and that the government has an obligation to assist them.  I beg your pardon, where does this ""obligation"" come from. Australia is not obligated to bring anyone here if it is not in Australia's interest.",Negative,User agreement
"This is a blockade we do support. Solidarity to everyone putting their bodies on the line to end Israel's genocide of Palestinian people and government, corporation and institutional complicity. #EndGazaBlockade",Positive,User agreement
"When the dust settles, the world will learn the extent of israel's genocide. Don't be surprised if the death toll exceeds 300,000. As israel slaughters children, Senator Wong remains complicit through her shameful silence. Grub!! #IsraeliNewNazism #GenocideinPalestine #FreePalestine #auspol",Positive,User agreement
"$10K challenge to @JacintaAllanMP 

I challenge Premier @JacintaAllanMP to a Public Debate that

""Victoria already has the laws to charge those who incite hatred, attack Jews & Synagogues, but doesn't effectively use them""

@theage @SkyNewsAust @australian @theheraldsun @3AW693 @abcnews 

Loser of debate makes personal $10,000 donation to @RCHMelbourne",Negative,User agreement
Sickening virtue signalling for votes .,Negative,User agreement
"Seriously what's happening to all the money? 🤯

Australia 🇦🇺 
✅ Income tax 
✅ Property tax
✅ Business tax 

Qatar 🇶🇦 
❌ No income tax
❌ No property tax
❌ No business tax",Negative,User agreement
"Here's some of the most loving and beautiful terrorist you'll ever see.

FreePalestine",Positive,User agreement
