content,sentiment,decision_source,cleaned_content
"Today, on my 15th year living in Australia, I was honoured with a Medal of the Order of Australia (OAM) ""for service to Chemistry"". Words can't express how much it means to me that my work has been recognised in this way.",Irrelevant,User agreement,today year live australia honour medal order australia oam service chemistry word express mean work recognise way
Start of year vs end of year: @WhiteAusQLD @NSNContactBot @EuropeanAusMvt,Irrelevant,User agreement,start year vs end year user user user
"John Marsden wanted young Australians to read more and his writing made that happen. 

Vivid, funny, quintessentially Australian, he wrote with a real love for our land and a true sense of our people's character. 

His was a great Australian voice that spoke to all ages, here and around the world. 

John's work will live long in our national memory.",Negative,User agreement,john marsden want young australian read writing happen vivid funny quintessentially australian write real love land true sense people character great australian voice speak age world john work live long national memory
The richest slave in the history of the world.,Negative,User agreement,rich slave history world
"#auspol
ALP policy failures:
- Lower cost of living ❌️
- Lower taxes ❌️
- Cheaper energy ❌️
- Better health ❌️
- Better education ❌️
- Defence ❌️
- Border security ❌️
- Immigration ❌️
- Jobs ❌️ 
- NDIS ❌️ 
- Aged care ❌️
- Housing ❌️
- Economy ❌️",Negative,User agreement,alp policy failure low cost live low taxis cheap energy well health well education defence border security immigration job ndis aged care housing economy
So guess what they did to him,Irrelevant,User agreement,guess
Not really that new. The View has been on the air since 1997.,Irrelevant,Pro user,new view air
@AlboMP,Irrelevant,Pro user,user
"Helen O'Sullivan is a participant on #FreedomFlotilla to Gaza. The Australian Government is failing, so this grandmother is sailing!
More info and to support, inc donate:",Negative,Pro user,helen participant gaza australian government fail grandmother sail info support inc donate
@AlboMP You make me sick you are by far the worst prime minister this country has had. Your obsession with immigration is going to turn our great nation into a 3rd world. I couldn't hate you anymore,Negative,Pro user,user sick far bad prime minister country obsession immigration go turn great nation world hate anymore
This is basically what Trump wants:,Negative,User agreement,basically trump want
@GarbageHuman24,Irrelevant,User agreement,user
.@SenatorWong @AlboMP Australia abstained. Your position is clear. I will not appeal to you on moral terms. You have none. We will do what it takes to swing the Muslim & Arab vote from Labor bc YOUR vote is for our genocide.,Negative,User agreement,user australia abstain position clear appeal moral term take swing muslim arab vote labor bc vote genocide
"In response to the Oslo Accords, @DrHananAshrawi  said, ""They made the people under occupation responsible for the security of their occupier.""  Throughout Israel's savage 11 month (and continuing) genocidal campaign in Gaza, zionists have made the people opposing genocide responsible for the feelings of those who support genocide. (1) 🧵",Positive,User agreement,response oslo accord user say people occupation responsible security occupier israel savage month continue genocidal campaign gaza zionist people oppose genocide responsible feeling support genocide
"EAM national meetup. 27 Jan, 2024",Negative,Pro user,eam national meetup jan
"@titancrib Until I take my last breath, racism is still alive.",Negative,User agreement,user breath racism alive
I can keep secrets too 🤫,Irrelevant,User agreement,secret
"Working together, we can make the change that is so desperately needed. We must.",Irrelevant,User agreement,work change desperately need
"For Palestinians, Zionism is a genocidal slaughterhouse. A child killing, amputating, burning, bombing, raping, torturing, land thieving and destroying machine. These are the material live-streamed, see-it-with-your-own eyes, the Israeli Forces and politicians are telling us in their own words on their tik toks and tweets, consequences and conditions of Zionism. (3)",Positive,User agreement,palestinians zionism genocidal slaughterhouse child kill amputating burning bombing raping torturing land thieve destroy machine material live stream eye israeli force politician tell word tik tok tweet consequence condition zionism
"There are two genders. One goes to a gynecologist, the other goes to a urologist.  
All the others should go to a psychiatrist.",Negative,Pro user,gender go gynecologist go urologist psychiatrist
"BBC, CNN, Foxnews, SkyNews Live Streamed the ICJ Hearing from The Hague. 

None of them did this when the South African team presented the case.. I wonder why.

Guess they weren't expecting this outcome. Lmao",Negative,Pro user,bbc cnn foxnew skynews live stream icj hearing hague south african team present case wonder guess expect outcome lmao
"I just saw this guy at the coffee shop.

No phone no tablet, no laptop.

He just sat there drinking coffee.

Like a PSYCHOPATH!",Irrelevant,Pro user,see guy coffee shop phone tablet laptop sit drink coffee like psychopath
@AdamBandt When will you grow up and realise climate change isn't real? Do you still believe in Santa?,Irrelevant,User agreement,user grow realise climate change real believe santa
@TurnLeft_2022 How do they plan on doing this? Maybe building a wall around them and installing checkpoints? Hmmm sounds very familiar 🤔,Negative,Pro user,user plan maybe build wall instal checkpoint hmmm sound familiar
Anyone else as excited as I am 👏🏼👏🏼👏🏼,Irrelevant,User agreement,excited
"Please watch. 2 min. This is Penny Wong when she went to Israel earlier this year. She met only with 'Palestinians' and brags about Australia's funding of UNRWA. Listen to her position on Israel. 

Labor must go. Very soon.",Negative,User agreement,watch min penny wong go israel early year meet palestinians brag australia funding unrwa listen position israel labor soon
@piersmorgan What an absolute arsehole of a thing to say. The vaccines do not and did not ever work other than to intentionally harm people. Fuckwit.,Irrelevant,User agreement,user absolute arsehole thing vaccine work intentionally harm people fuckwit
"@ThomasSewellx These people are delusional. A biproduct of their obsession with cartoon fantasy worlds. 

People obsessed with anime slop seem to develop an over-inflated sense of self worth and keen lack of self awareness.

They're basically spiritual troons.",Irrelevant,User agreement,user people delusional biproduct obsession cartoon fantasy world people obsess anime slop develop inflate sense self worth keen lack self awareness basically spiritual troon
The horrific truth is some of these beautiful souls are most likely dead.,Irrelevant,Pro user,horrific truth beautiful soul likely dead
"@Red_Pill_US This is one of those ""conspiracies"" I don't often lean into,  it this one felt so intentional and flagrant, it can't be ignored",Irrelevant,Pro user,user conspiracy lean feel intentional flagrant ignore
"5/6 Palestinians have for long compiled detailed cases of sexual abuse and harassment by the Israeli army, which continue to be ignored by the very same groups who were shaming feminists for not responding to the Israeli women rape allegations. #israel #Gaza #Palestine",Positive,User agreement,palestinians long compile detailed case sexual abuse harassment israeli army continue ignore group shame feminist respond israeli woman rape allegation
Never again. #HolocaustRemembranceDay,Negative,User agreement,
Peace & Pan-Europeanism,Negative,Pro user,peace pan europeanism
"Tonight the Liberal Party stood on the side of terrorists and criminals. Instead of supporting our anti-money laundering and counter-terrorism financing reform, they opposed it.",Negative,User agreement,tonight liberal party stand terrorist criminal instead support anti money laundering counter terrorism financing reform oppose
Russia can reduce the risk of World War III by leaving Ukraine.,Negative,User agreement,russia reduce risk world war iii leave ukraine
"@SharriMarkson Omg just imagine the horrifying thought of White Australians who protest that Jews hate the very idea of White Australia having any semblance of freedom of speech😱

You probably need to un-bunch your panties and get with the program imo, because you sound very cringe 😐",Positive,User agreement,user omg imagine horrifying thought white australian protest jews hate idea white australia have semblance freedom speech probably need un bunch pantie program imo sound cringe
"""I watch Jackson Hinkle and Haz, how could you tell?""",Irrelevant,User agreement,watch jackson hinkle haz tell
🚨 #BoycottWoolworths They don't deserve our money,Irrelevant,User agreement,deserve money
If only you knew how used you were.,Irrelevant,User agreement,know
"Today I have announced the appointment of Ms Katie Kiss as the next Aboriginal and Torres Strait Islander Social Justice Commissioner.

This important role works to uphold, promote and protect the human rights of Aboriginal and Torres Strait Islander people.",Irrelevant,User agreement,today announce appointment ms katie kiss aboriginal torre strait islander social justice commissioner important role work uphold promote protect human right aboriginal torre strait islander people
"It's all perfectly clear to me.
a. All inflation is caused by govt
b. After 2 years of socialism, Labor policies are making everything worse.
c. Trying to achieve equality of outcomes results in everyone being worse off
d. Labor don't have the stomach to fix our economy 
#auspol",Negative,User agreement,perfectly clear inflation cause govt year socialism labor policy make bad try achieve equality outcome result bad labor stomach fix economy
"Today's interest rate cut is welcome news. And it comes after falling inflation, strong employment, and recent rises in real wages. 

Australians have achieved so much, and this is welcome relief. 

I spoke at the new @abcnews studios today in Parramatta about what today's rate cut means for Australian mortgage holders.",Negative,User agreement,today interest rate cut welcome news come fall inflation strong employment recent rise real wage australian achieve welcome relief speak new user studio today parramatta today rate cut mean australian mortgage holder
Every thing you have witnessed since Oct 7th one year ago.Was happening to Palestinians for 75 years.Do you understand?,Positive,User agreement,thing witness oct year happen palestinians understand
The Government is currently considering the outcomes of a consultation process on the next stage of reforms to further strengthen the public sector whistleblower framework.,Negative,Pro user,government currently consider outcome consultation process stage reform strengthen public sector whistleblow framework
One of the best signs of the protest,Irrelevant,Pro user,good sign protest
Very normal tweet Milo.,Irrelevant,User agreement,normal tweet milo
@JacintaAllanMP Free free free free free free free free free free free jacinta fuk off we've had a gut full of you socialist  pricks,Irrelevant,Pro user,user free free free free free free free free free free free jacinta fuk gut socialist prick
"Yesterday he was ""SHEIKH ALBO"" today he's ""GAYBO"" wtf is wrong with this dikhead. What an embarrassment to our country this weasel is.",Irrelevant,User agreement,yesterday sheikh albo today gaybo wtf wrong dikhead embarrassment country weasel
Palestine making activists out of all of us. Please know fighting for justice for Palestine means fighting everyday for the rest of your life to make this world a better place for everyone.,Negative,Pro user,palestine make activist know fight justice palestine mean fight everyday rest life world well place
"In Australia there is now ""the Muslim Vote""

Does that mean we should also have

""The Christian Vote""

""The Buddhist Vote""

""The Hindu Vote""

""The Sikh Vote""

""The Jewish Vote""

Or should the @AustralianLabor stop pandering & start focusing on what's best for all Australians ?",Negative,User agreement,australia muslim vote mean christian vote buddhist vote hindu vote sikh vote jewish vote user stop pander start focus good australian
@MannieMighty1 Shapiro,Irrelevant,User agreement,user shapiro
"Thank you for this overwhelming honour. To my family, my colleagues, my co-winners, my country and most of all, my community. I will never stop fighting for you.",Negative,Pro user,thank overwhelming honour family colleague co winner country community stop fight
"There are millions of Jews around the world, and many in Australia, totally opposed to the #genocide by #Israel We stand with them.",Positive,Pro user,million jews world australia totally oppose stand
"I condemn the attack on the electorate office of Josh Burns. Those responsible should face the full force of the law. 

This is a serious attack. The targeting of a Jewish MP is very distressing. 

There is no place for political violence in Australia.",Negative,User agreement,condemn attack electorate office josh burn responsible face force law attack targeting jewish mp distressing place political violence australia
"Feminism isn't pushed because it's righteous, but rather, because it destroys that which is.

Is it JEWS who push it?",Positive,Pro user,feminism push righteous destroy jews push
@An89390Anglo @davidicke The Globalists are the jews BTW,Positive,Pro user,user user globalist jews btw
"@historyinmemes For some people of this platform, looking up an Iranian womans skirt is more important than 20,000 dismembered children whose only crime was not being a Jew.",Negative,User agreement,user people platform look iranian womans skirt important dismember child crime jew
My piece today @themercurycomau on the Zionist lobby's cultural McCarthyism against artists who support or even discuss #Palestine,Positive,User agreement,piece today user zionist lobby cultural mccarthyism artist support discuss
"Did you know that Sydney public school, Granville Boys High, produced terrorists & ISIS members like Ahmed Merhi ?

Last week students chanted ""Allah Akbar""

Granville is in the federal electorate of Baxland, which is held by @AustralianLabor & education minister @JasonClareMP",Negative,User agreement,know sydney public school granville boy high produce terrorist isis member like ahmed merhi week student chant allah akbar granville federal electorate baxland hold user education minister user
@david_r_morgan Facts!,Irrelevant,User agreement,user fact
"The Jewish community again wakes to scenes of terror and devastation. More burning cars and broken glass. Another act intended to terrorise us, drive us from our country and make our fellow Australians fearful of associating with us. How long will this continue and with what horrors will it end? We ask that you stand with us. March with us. Don't let this evil tear our country to pieces. We expect the new AFP taskforce to bring the perpetrators swiftly to justice.",Negative,User agreement,jewish community wake scene terror devastation burn car broken glass act intend terrorise drive country fellow australian fearful associate long continue horror end ask stand march let evil tear country piece expect new afp taskforce bring perpetrator swiftly justice
"Thank you @SenatorThorpe for your advocacy for Palestinians in parliament. 

""While the world mourns what has happened to Israelis, governments, including this one, seem to condone the tragedy unfolding for Palestinians.""",Negative,User agreement,thank user advocacy palestinians parliament world mourn happen israelis government include condone tragedy unfolding palestinians
"60% of the australian population knew there was a hidden agenda behind the so called voice & if more indigenous in communities weren't pushed to vote yes after being misinformed of the outcome & benefits the NO vote would have been higher..
Now everything the yes camp has tried to avoid, accountability & a focus on internal corruption is coming to the forefront & maybe in the future we will see the billions that have gone astray in the past now going to those most in need & this will be because of the amazing work done by jacinta , warren & their team who were intimidated by yes campaigners & the labor government .",Negative,User agreement,australian population know hidden agenda call voice indigenous community push vote yes misinformed outcome benefit vote high yes camp try avoid accountability focus internal corruption come forefront maybe future billion go astray past go need amazing work jacinta warren team intimidate yes campaigner labor government
Australians should remember how Israel murdered an Australian aid worker then mocked her death.,Positive,User agreement,australian remember israel murder australian aid worker mock death
Are these people the masters of Australia's Parliament just like in the US???,Irrelevant,Pro user,people master australia parliament like
"@rachelhalinasor Your women are either aliens or AI...

imagine being to resort to Ai images to create support for Israel lol",Negative,Pro user,user woman alien ai imagine resort ai image create support israel lol
"The best boy in the world has crossed the rainbow bridge.

My mum lurks my comments, so please send some love her way (and to my dad), given they had to make the hardest choice earlier today.

Fergus was the best boy. I'm heartbroken.",Irrelevant,Pro user,good boy world cross rainbow bridge mum lurk comment send love way dad give hard choice early today fergus good boy heartbroken
@PeterDutton_MP Soulless goblin goyim dancing a little tune for your Jewish masters. Who are you fooling?,Positive,User agreement,user soulless goblin goyim dance little tune jewish master fool
I am deeply concerned by the reports of violence coming from Pakistan - my thoughts are with those standing up for democracy,Negative,User agreement,deeply concerned report violence come pakistan thought stand democracy
There's no Auschwitz in Gaza. But it's still genocide,Positive,User agreement,auschwitz gaza genocide
I've never heard of this trash prior to her rabid attack on me yesterday alongside Bot. Let's see how she fares in the witness box. Feel kinda sorry for her that she works at sky news. I'd honestly prefer to be dipped in battery acid. Utter gutter 'journalism'!! #FreePalestine #auspol,Positive,User agreement,hear trash prior rabid attack yesterday alongside bot let fare witness box feel kinda sorry work sky news honestly prefer dip battery acid utter gutter journalism
"@_NicoleNonya @WhichWayWestMen I agree. I didn't know he was in with the Jews til I saw some photos recently. Everything that is happening is plotted by the Jews. Jew Trump, the Ukraine war...khazarians are going home. Fuck fuck fuck",Positive,User agreement,user user agree know jews til see photo recently happen plot jews jew trump ukraine war khazarian go home fuck fuck fuck
"@9NewsMelb @gillianlant That sounds terrible, is there a description of what race they looked like?",Negative,Pro user,user user sound terrible description race look like
Israel committed genocide. The world saw it. South Africa took action. Even the ICJ couldn't deny what is clear as day. The West can't say it didn't know. The West has been complicit. The US is shipping weapons. A lot of people have blood on their hands. We need a ceasefire now.,Positive,User agreement,israel commit genocide world see south africa take action icj deny clear day west know west complicit ship weapon lot people blood hand need ceasefire
"Those in the so called ""Lawyers for Israel"" who were lobbying to force a weak @abcnews to sack #AntoinetteLattouf have appalled many in this profession. Appalling conduct.",Positive,User agreement,call lawyer israel lobby force weak user sack appal profession appalling conduct
"The pagers of all doctors and nurses were targeted. With one exception, the AMERICAN University of Beirut hospital that asked staff to replace their pagers ten days ago.",Negative,Pro user,pager doctor nurse target exception american university beirut hospital ask staff replace pager day ago
"If you care about being edgy you are a mental child. 

I post Hitler because I think Adolf Hitler was a righteous man. It doesn't matter whether or not it makes anyone upset.",Positive,User agreement,care edgy mental child post hitler think adolf hitler righteous man matter make upset
@7NewsMelbourne Do I sense a Cronulla round 2?,Irrelevant,User agreement,user sense cronulla round
"As long as Australia continues to export weapons parts to Israel's genocidal regime, its lip service about any kind of peace solution remains exactly that. Aus must end its 2-way trade of weapons and military components w/ Israel or risk violating the Genocide Convention. #Auspol",Positive,User agreement,long australia continue export weapon part israel genocidal regime lip service kind peace solution remain exactly aus end way trade weapon military component israel risk violate genocide convention
"No one in touch with their own humanity will be silenced about this endless atrocity. These images are burnished into history and no amount of whitewashing will save apartheid Israel from the enormous damage it has inflicted on itself.Were it not for the courage of @elonmusk and those behind a couple of other platforms, we would see none of this.If there has been a rise in antisemitism, the Zionist Lobby needs to take a good hard look at itself in the mirror, instead of blaming those of us calling for an end to the slaughter, the free flow of humanitarian aid, and a political solution to the dispossession. What hutzpah.",Positive,User agreement,touch humanity silence endless atrocity image burnish history whitewashing save apartheid israel enormous damage inflict courage user couple platform rise antisemitism zionist lobby need good hard look mirror instead blame call end slaughter free flow humanitarian aid political solution dispossession hutzpah
"@filberg_jonas @WhiteAusPolicy Australia didn't exist before colonisation. There was no existing nation on this landmass. We took it, we built it, we fought for it. It's ours.",Negative,User agreement,user user australia exist colonisation exist nation landmass take build fight
I'm so sick and tired of the fact that this entire cohort of the population are basically allowed to act with impunity.,Irrelevant,User agreement,sick tired fact entire cohort population basically allow act impunity
"Fuck every last living Zionist. Isolate the shit out of them. Kick them out of your spaces. They are no better than Nazis. They have targeted Palestinians for decades. They are violent abusers. Make them uncomfortable, make them unwelcome. Zionism has no place in a just world.",Positive,User agreement,fuck living zionist isolate shit kick space well nazi target palestinians decade violent abuser uncomfortable unwelcome zionism place world
"Every Australian should have all eyes on Judge Hilary Charlesworth. 🇦🇺 

The Australian Judge on the panel of South Africa v Israel. 

We will have a lot to say and hold Australia accountable for if she votes in favour of Israel.",Positive,Pro user,australian eye judge hilary charlesworth australian judge panel south africa v israel lot hold australia accountable vote favour israel
"Hey @AlboMP 
Listen to 'the real Albanese' and  #StopArmingIsrael",Positive,Pro user,hey user listen real albanese
Melbourne National Socalist defends himself against anti-fascist rat who kicked him in the back.,Negative,Pro user,melbourne national socalist defend anti fascist rat kick
@Peter_Fitz,Irrelevant,User agreement,user
"@Palsvig I tried back pilling my fb friends for over a decade. The the jab came and I tried again. They ALL had it, not my excellent family though coz we're conspiracy theorists. 1 of them hates me now a d is openly hostile when I see him at the pub. Should see him when I say booster 🤣",Irrelevant,Pro user,user try pille fb friend decade jab come try excellent family coz conspiracy theorist hate d openly hostile pub booster
Yes this actually happens. Israelis steal Palestinian homes.,Positive,User agreement,yes actually happen israelis steal palestinian home
👏🏽👏🏽👏🏽👏🏽,Irrelevant,User agreement,
"Today I introduced legislation to improve the experience of victims and survivors in our justice system. 

These reforms will support victims and survivors and reduce barriers to navigating the Commonwealth justice system.

Read more:",Negative,User agreement,today introduce legislation improve experience victim survivor justice system reform support victim survivor reduce barrier navigate commonwealth justice system read
"APAN welcomes the overnight ruling by the ICJ that Israel's 57-year-old occupation of, and construction of settlements in, Palestinian territories is illegal, and that the state's actions meet the legal definitions of apartheid.

Read more -",Positive,User agreement,apan welcome overnight ruling icj israel year old occupation construction settlement palestinian territory illegal state action meet legal definition apartheid read
Israel doesn't exist.,Positive,User agreement,israel exist
I AM MOVING ON THE KING'S HIGHWAY,Irrelevant,User agreement,move king highway
Find out more:,Irrelevant,User agreement,find
"Palestinians aren't victims in need of aid, they're an occupied people in need of freedom",Positive,User agreement,palestinians victim need aid occupied people need freedom
@MerseyPolice Is this you? 🧐,Irrelevant,User agreement,user
"For three years Australia has proudly supported the brave people of Ukraine in their struggle to defend their sovereignty against the brutality of Russian aggression and in support of international law.

Australia stands with Ukraine. 🇦🇺🇺🇦",Negative,Pro user,year australia proudly support brave people ukraine struggle defend sovereignty brutality russian aggression support international law australia stand ukraine
@PPC4Liberty I think he dropped this,Irrelevant,User agreement,user think drop
"Another WhatsApp leak of Aus Zionists. This one has 600 ""academics and creatives"". It's full of the usual targeted reporting of ""pro-Palestinian"" people, then there's this: Project Oct 7th, an initiative with the Israeli govt, and 8200 developers, trying to game the algorithm.",Negative,Pro user,whatsapp leak aus zionist academic creative usual targeted reporting pro palestinian people project oct initiative israeli govt developer try game algorithm
@SHildebrand88 @NourNaim88 Maybe that's because Israel has banned foreign journalists so people are trying to document the war crimes they are experiencing. Is really not that hard to fathom if you are able to have critical thinking outside of the Israeli propaganda machine.,Positive,User agreement,user user maybe israel ban foreign journalist people try document war crime experience hard fathom able critical thinking outside israeli propaganda machine
@AidenHunterX @PhukElon,Irrelevant,User agreement,user user
"30,000+ shut down Melbourne and demand a ceasefire and an end to Israeli apartheid, impunity and war crimes!",Positive,User agreement,shut melbourne demand ceasefire end israeli apartheid impunity war crime
@nogulagsagain @OliLondonTV They're not killing them yhey are shooting them in the leg . What would you fantasise about doing if some one was stealing your families food .,Negative,User agreement,user user kill yhey shoot leg fantasise steal family food
Tens of thousands of people show up again for Palestine in Naarm!,Negative,Pro user,ten thousand people palestine naarm
"Deeply appreciative of this statement of support by the @jewishcouncilAU 
When zionists attack, we see everywhere in so many spaces an ethics of solidarity and practice of care towards each other. We see a chance to affirm what we stand for and what world we insist we can build together. I don't take for granted the courage it takes for anti-zionist Jews to speak out and I am proud to be building a movement together.",Positive,Pro user,deeply appreciative statement support user zionist attack space ethic solidarity practice care chance affirm stand world insist build grant courage take anti zionist jews speak proud build movement
@philipdalidakis @SkyNewsAust Maybe we could tie chops around their necks so the dogs will play with them . Their neighbours speak so highly of them . And they've only been kicked out of every country they've been in . But yeah anti semitism,Negative,Pro user,user user maybe tie chop neck dog play neighbour speak highly kick country yeah anti semitism
Here's Israel acting exactly like the terrorist organisation it is.,Positive,User agreement,israel act exactly like terrorist organisation
"Israel is now making the occupied West Bank uninhabitable.

Israel has never had a Hamas problem; it has always had a Palestinian problem.",Positive,User agreement,israel make occupy west bank uninhabitable israel hamas problem palestinian problem
"Kanye: Jews responsible for sexualising Christian women.

Also Kanye:",Positive,User agreement,kanye jews responsible sexualise christian woman kanye
"""The Palestinians must be given back their homeland""
- Australian PM, Anthony Albanese",Negative,Pro user,palestinians give homeland australian pm anthony albanese
"PM Albanese and Australian Labor Govt are failing, so we're sailing to Gaza to challenge illegal Israeli blockade and deliver humanitarian aid as per UN Security Council Resolution 2720.",Positive,User agreement,pm albanese australian labor govt fail sail gaza challenge illegal israeli blockade deliver humanitarian aid un security council resolution
"To Israel, you can destroy Hamas,  slaughter every Palestinian child, wipe Gaza off the map, whip every world leader into shape, control the discourse in the media, intimidate universities, drop bombs on our freedoms everywhere. Still, you will NEVER find peace. The monster that terrorises you is inside your heart, in your decayed society that believes its existence is predicated on perpetual hate and destruction. Your power and your savagery is a weakness and a curse that future generations in Israel will inherit. Every massacre you commit chips at your humanity... not ours. Every bomb you drop destroys your humanity not ours. Until you come to terms with the monster inside of you... you will never find peace.  #Gaza #Israel #Palestine",Positive,User agreement,israel destroy hama slaughter palestinian child wipe gaza map whip world leader shape control discourse medium intimidate university drop bomb freedom find peace monster terrorise inside heart decayed society believe existence predicate perpetual hate destruction power savagery weakness curse future generation israel inherit massacre commit chip humanity bomb drop destroy humanity come term monster inside find peace
@KeithWoodsYT Indians are as resentful as Jews.,Positive,Pro user,user indians resentful jews
"Another boat load of illegal immigrants arrive on the Dampier Peninsula north of Broome in W.A.

More evidence that the Albanese Labor Govt has lost control of our borders. 

Hey Albo, how many rapists and criminals are in this latest boatload? #auspol",Negative,User agreement,boat load illegal immigrant arrive dampier peninsula north broome evidence albanese labor govt lose control border hey albo rapist criminal late boatload
"To everyone in south east Queensland and northern New South Wales, we've got your back.",Irrelevant,User agreement,south east queensland northern new south wale get
Mass deportations now!,Negative,User agreement,mass deportation
"JEWS are:

🔴 0.001% of El Salvadorans
🔴 0.4% of Argentinians
🔴 0.03% of Mexicans
🔴 0.2% of Venezuelans
🔴 0.3% of Panamanians
🔴 0.4% of English
🔴 0.08% of Ukrainians
🔴 0.09% of Russians
🔴 0.35 of Portuguese
🔴 0.25% of Poles

How does this make sense?
Video by @Norambu3na",Positive,Pro user,jews el salvadoran argentinian mexican venezuelan panamanian english ukrainian russians portuguese pole sense video user
"🇵🇸🇮🇱 Aid was dropped into Gaza and witnesses say Israel opened fire at them while they were going to get it.""At least 104 Palestinians killed and 760 wounded"" according to Al Jazeera.Massacre.Crimes against humanity don't get clearer than this.",Positive,User agreement,aid drop gaza witness israel open fire go palestinians kill wound accord al humanity clear
"US/Australia to Israel: ""You should stop the attack on Rafah.""Israel: ""No.""US/Australia: ""Well here are some more bombs, drones, fighter planes and weapons parts then.""Hypocrisy emoji",Positive,User agreement,australia israel stop attack rafah australia bomb drone fighter plane weapon part emoji
"The hospital massacre
The flour massacre
The tent massacre
The school massacre
The aid massacre
The prayer massacre
The hospital massacre (reprise)
The flour massacre (reprise)
The tent massacre (reprise)
The school massacre (reprise)
Reprise. Reprise. Reprise.
340 days of this.",Positive,Pro user,hospital massacre flour massacre tent massacre school massacre aid massacre prayer massacre hospital massacre reprise flour massacre reprise tent massacre reprise school massacre reprise reprise reprise reprise day
"‼️ Coming to a store near you.

‼️Coles supermarkets can disable your trolley 😳",Irrelevant,User agreement,come store near supermarket disable trolley
@SkyRomans @TomS38256360 Acab because the cops are anti white scum.,Negative,User agreement,user user acab cop anti white scum
@SenatorThorpe You're very passionate - that's clear. But if I behaved like that at work I'd probably get suspended too. Fairs fair,Irrelevant,User agreement,user passionate clear behave like work probably suspend fair fair
"If it was the Sikhs, I'd call them out.If it was the Muslims, I'd call them out.If it was the Catholics, I'd call them out.I've got no horse in this race. All my research consistently leads me to the same conclusion.It really is the Jews.That's just the way it is.",Positive,User agreement,sikh muslims catholic get horse race research consistently lead way
"There will be lots of activities on the day, exercises facilitated by mental health professionals, in-person and online activities  and forms of activism for Palestine.",Positive,Pro user,lot activity day exercise facilitate mental health professional person online activity form activism palestine
Average public order disrespecter vs average public order respecter,Irrelevant,Pro user,average public order disrespecter vs average public order respecter
#MELBOURNE out in force for #palestine not too late to join us at the State Library,Negative,User agreement,force late join state library
Together we can end Israel's illlegal and inhumane siege of the Gaza Strip. Help the #freedomflotilla sail:,Positive,User agreement,end israel illlegal inhumane siege gaza strip help sail
Trump wants to turn Gaza into a riviera for Jews on top of the bones of Palestinian children.,Positive,Pro user,trump want turn gaza riviera jews bone palestinian child
@ThomasSewellx Ancestral spirit. Back to basics.,Negative,Pro user,user ancestral spirit basic
"Before the world was blaming Hamas for the latest attempt of genocide, israel was not only executing Palestinians but attacking funeral processions. 

Fuck you with your accusations of antisemitism.",Positive,User agreement,world blame hama late attempt genocide israel execute palestinians attack funeral procession fuck accusation antisemitism
This is a fucking big deal considering the laws in place in Berlin and the rest of Germany,Irrelevant,Pro user,fucking big deal consider law place berlin rest germany
"""Most concerning is that over half (58.2%) of participating mosques (or worshippers at them) had experienced targeted violence between 2014 and 2019."" No mention of this by media and Israel lobby",Positive,User agreement,concern half participate mosque worshipper experience target violence mention medium israel lobby
"To make housing more affordable, we need to build more homes.

We're getting on with our ambitious goal of building 1.2 million new homes.

And today we've greenlit the biggest build of social and affordable homes in over a decade.",Irrelevant,User agreement,housing affordable need build home get ambitious goal build million new home today greenlit big build social affordable home decade
The greatest Australian Prime Minister is Gough Whitlam.,Irrelevant,User agreement,great australian prime minister gough whitlam
@MannieMighty1 Beehave !,Irrelevant,User agreement,user beehave
"Congratulations to all workers approaching a wage of $135000 p.a. 

Thanks to Albonese's broken promise on the Stage 3 tax cuts, you're about to hit a higher tax bracket and pay an extra $3375 in tax each year. 

You just copped a $64 per week tax increase!!!!
#auspol",Negative,Pro user,congratulation worker approach wage thank albonese broken promise stage tax cut hit high tax bracket pay extra tax year cop week tax increase
@SenatorWong Yet you can't condemn GENOCIDE,Negative,User agreement,user condemn genocide
Just devastating... thank you both for all you trying to do.,Irrelevant,User agreement,devastating thank try
"""The hold of the Israel lobby over Australian politicians is based on two facts: first, donations to the political parties from the Jewish community leadership; second, paid trips to Israel extended to every member of parliament and journalists .."" - Bob Carr https://t.co/kZh8RAIGGW #auspol #FreePalestine",Negative,Pro user,hold israel lobby australian politician base fact donation political party jewish community leadership second pay trip israel extend member parliament journalist bob carr
"Your silence speaks volumes. Don't bury your heads in the sand while this is going on. Speak up. Some of you are well connected enough to have some kind of small influence. It's baffling, how you can pretend it's business usual #SaveAlshifaHospital #StopGazaGenocide #isreal",Positive,User agreement,silence speak volume bury head sand go speak connect kind small influence baffle pretend business usual
The difference is clear.,Irrelevant,User agreement,difference clear
@esilacSynohtnA @theBasedBaldwin @aus_pill @AlboMP @PeterDutton_MP @Tony_Burke I went to a shopping complex in Melboune in November and was almost in tears of fury. I saw 2 Australians out of the hundreds of ppl in there. I'm from regional NSW and had no idea how bad things are 🤬,Irrelevant,User agreement,user user user user user user go shopping complex melboune november tear fury see australian hundred ppl regional nsw idea bad thing
I'm sick of this.I'm a Muslim and I'm sick of this. Why aren't Christians doing anything? Why are you weak?,Negative,User agreement,sick muslim sick christian weak
"Making sure you can see a GP for free. Fifty more free Medicare Urgent Care Clinics. A record investment in women's health. 

Ahead of Cabinet today, I spoke about the work we have been doing to make Medicare stronger.",Irrelevant,User agreement,make sure gp free free medicare urgent care clinic record investment woman health ahead cabinet today speak work medicare strong
