content,sentiment
Kino ngl,Irrelevant
Lawyers who engage in lobbying to have journalists removed because they don't like their views should think about core values in a democratic society like freedom of speech. Values they should uphold.,Irrelevant
"Another day and more anti-Palestinian racism! 

No Senate enquiries!
No op-eds published!
No political outrage!
No media storm!

There is no consequence to being an Palestinian racist!

Shame @1116sen @craighutchy shame!

I stand with @plalor @RandaAFattah @antoinette_news",Negative
@9NewsAUS MASS DEPORTATIONS NOW!,Negative
"CHINKS OUT

📍 Melbourne, VIC",Negative
The attacks on @MaryKostakidis by the #ZionistLobby is a chilling reminder that freedom of speech in Australia is under threat.  The appointment of an anti semitism Commissioner is another threat. Media must oppose these developments,Positive
@LozzaFox If the police were Nazis you wouldn't be having these problems you brainwashed gimp,Positive
"Perth EAM members at training on Sunday. 
Get involved @West_Australia @EuropeanAusMvt @NSNContactBot",Irrelevant
@marcuschown Shut up you race tr****r,Negative
"@DefiyantlyFree Lol lots of people like Hitler because he took personal responsibility for his people and his nation, and kicked goals. 

If this seems weird to you then it would appear that you are the one who needs to ""do some deep soul searching"" 🤨",Positive
The tragedy here is that this dude is throwing away his genes into a vietcong foid.,Irrelevant
"""Nazi germany was fighting for the bankers secretly so the USSR had to ally with the bankers openly in order to defeat nazism which is just liberalism, they had to convince the actual liberals to fight the nazis who are also liberals by allying with them""

Howda ya kno I'm brown?",Positive
"Queensland Waffen going strong. 
HH",Positive
@ZoomerHistorian FUCK ALL THE CUNTS,Irrelevant
"Share this with whomever needs to hear it. Z's want us to despair. To feel powerless and overwhelmed.If u helicopter out, you can see they are throwing everything they have at us. Power wants u to believe u are powerless.
But u are not. We are not!
Be strong my friends be strong",Positive
"1. It is disappointing that Marcia Langton has joined in the malicious Zionist pile-on of @Sarah_Schwartz, propagating lies about Sarah's presentation, seeking to silence Jewish dissenters who dare to fight for a world where Jewish identity and Judaism are not held hostage (yes deliberate choice) to the ethno-supremacist racist genocidal apartheid state of Israel.",Positive
"WHAT IS THE CHARGE?

ENJOYING A DEMOCRACY?

A SUCCULENT LIBERAL DEMOCRACY?",Irrelevant
📍Victoria @WhiteAusVic @NSNContactBot,Negative
"Hey @pennywong @AlboMP what will it take  for you to upgrade from ""deeply concerned"" to ceasefire now? 

Until you do we will hold you complicit and accountable. May every child haunt you everyday of your life.",Negative
@CensoredMen Quote 'When a Zion makes an accusation it's a confession,Positive
@IStandWith92259 @israelifihther Im not the one killing unarmed women and children,Positive
"3. And so when Zionists demand my fellowship be cancelled, they are purposefully targeting me and the next generation of Arab and Muslim women academics.

They seek to eliminate us from the academy because our voices, knowledge production and impact threaten the White supermacist status quo they so desperately seek to maintain.",Positive
#Israel committing war crimes and crimes against humanity in #Lebanon This is a rogue state. All justified under the cover of attacking #Hezbollah It is again grossly disproportionate. This disregard for humanity shown by Israel is sickening.,Positive
@MythoYookay That's a lot of words to just describe rape.,Irrelevant
"@RepBrandonGill Laments multiculturalism 
Is married to an Indian 

Never before has someone been as laughably ridiculous and as overly cooked as you have been in this thread",Negative
"Why are the majority of all westerners clueless about the Holodomor?

What might explain that?

H/T @tadgh_dc",Negative
While the media and political class works itself into a frenzy over #antisemitism it refuses to consider the evil of the #Zionist lobby's constant law fare and censorship of pro #Palestinian views. There are groups and individuals in the Zionist lobby that are thugs,Positive
@ZionistFedAus More lies . You know they follow the Hanibal directive . Then affter that the Samson plan . Stop bullshitting for once in your rapacious existence,Positive
@huhitstime @SlanderedSaint2 @Ostrov_A Yandex is the only place you can research it,Irrelevant
Any Australian companies and individuals that do business with the Israeli government and military should face penalties and boycotts. They are aiding a regime that is committing genocide. #auspol #ApartheidIsrael,Positive
@CommieLiam2 Anti Australian scum should be deportated immediately,Negative
"She is right. This is a racist country. The legal system, for example, is a prime example of why #criticalracetheory is right",Negative
@joshburnsmp Of course. And it is reprehensible for any Australian politician to support #Israel crimes in #Gaza and #Lebanon,Positive
@GarbageHuman24 You can see why Hitler was keen .,Positive
@SamParkerSenate It reveals the nature of the beast,Irrelevant
@MannieMighty1 Shapiro,Irrelevant
The witch hunt of @andrewjgiles is disgraceful. Under Dutton Morrison and Co there were cases where individuals went on to commit crimes but there was no media and political thuggery  Yet again racism in Australia rules #auspol,Negative
@esilacSynohtnA They contribute to alcoholism,Irrelevant
Sydney for the White man! The rest must go @NSNContactBot @EuropeanAusMvt,Negative
"I don't want to work a regular job

I want to be a fascist 

I don't care for a wife 

I want to be a fascist 

I don't care for luxuries 

I want to be a fascist 

I don't want an easy life 

I want to be a fascist",Negative
When will the Australian media and political class focus on the daily abuse that Arab Australians and members of the Muslim community in this country endure? #Gaza,Negative
"Bags are not for carrying family members. 

Never stop talking about Palestine.",Negative
"I hate commercial gyms. I went once and will never go again. Broccoli head zoomers, whores etc. everywhere. I'll take my cold moist garage any day.",Irrelevant
"This was a fun day. Fuck Israel.

Sometimes you've got to have a laugh.",Positive
"@KathleenWinche3 So basically are you posted a fake/staged video to White women with the intent of putting them at risk in scenarios where they are chased by a black.

That is the consequence of your action here, which betrays your intent.

Does a White or non-White run this account? Hmm 🤔",Negative
"'Fascism is just about cool vibes' 

Shut up retard.",Negative
".@DaveSharma is still licking his wounds after I demolished his hasbara on @abcqanda in May 2021. 

Coming after me this way says everything about him and the Zionist bullies he supports. 
My integrity, resolve to speak truth to power, commitment to oppose genocide, settler colonialism, apartheid and oppression remains utterly steadfast. 

If you know, you know. 
But if you don't- enjoy these highlights.",Positive
Events like this changed me forever. Israel is a blatant racist apartheid state.,Positive
"@ClareONeilMP Lol you don't need to build a record amount of homes if you don't import record amounts of immigrants, its that simple",Negative
@AlboMP We need to deport millions of people,Negative
"Why aren't the Palestinians receiving these types of deliveries on a daily basis?

What the fuck is wrong with this world?",Negative
"Total War Wednesday 😎

NSN slogan metal edit - Mass Deportations Now

🎵Gonna warm up all the planes😡",Negative
"@DanBilzerian Was this group ALWAYS the ""genocidal ones""?

After all, wasn't it JEWS who were overwhelmingly overrepresented amongst the Bolsheviks in Russia who commit mass genocide on tens of millions of white Christian Russians?",Positive
#nazi chads marched in Brisbane's CBD today. Hail Victory,Negative
"We are seeing employers, organisations like @VicLegalAid 
heck even Facebook pages (a NSW history teacher page of hundreds) banning discussion of ""the conflict' because of ""different views"", ""distress to employees"", ""inclusivity and respect"". 

Free speech isn't the most important issue at stake.   

Every time an organisation or employer or administrator bans discussion about the ""conflict"" they have declared their moral position: namely, that there are both-sides to genocide. That there are both sides to apartheid. That there are two sides to settler colonialism. That there are two sides to Jewish supremacist ideology. 

This is not about protecting employees from harm. It's about exceptionalising Zionism as an ideology and world view that is owed respectability and accommodation. We do not accommodate or hold space for racism, sexism, homophobia in workplaces. We do not say that espousing anti-racism or displaying anti-homophobia studies is divisive or affects the wellbeing of racists or homophobes. 

If you are a Zionist you should be uncomfortable, you should be embarrassed to spout your Jewish supremacist racism. You should be shamed into discomfort about supporting apartheid and settler colonialism.",Positive
@joeldavisx @PeterDutton_MP Ratio Dutton so hard please 🙏🏻,Irrelevant
🧵The JP DATA & EVIDENCE BELOW🧵,Irrelevant
Yea yea whatever man,Irrelevant
White boy activities. @WhiteAusVic @EuropeanAusMvt @NSNContactBot,Negative
Zionists in Australia are in hysterics because their poster girl for genocide was denied a visa. They keep telling us who they are and what they stand for.,Positive
"@01AmyJohnson O'Neill. Donaghey. Robertson. Clifton. Thomen.

These are the names of our ancestors. These are the names of brave White men.

If they were alive to see people like you sully their legacy and mock those keeping their vision alive, they'd hang you on the stockade and laugh.",Negative
"Those in the so called ""Lawyers for Israel"" who were lobbying to force a weak @abcnews to sack #AntoinetteLattouf have appalled many in this profession. Appalling conduct.",Positive
Australia's refusal to fund @UNRWA shows contempt for #Palestinian lives. A new low for this nation.,Negative
@NourNaim88 @HensonJames11 Using an AI program like ' where's daddy ',Irrelevant
"Australia for the White man! @NSNContactBot @EuropeanAusMvt 
📍Brisbane",Negative
"Hey @KerenZelwer this is Zio-protection 101!

I'm speaking as a human being with love in his heart for ALL of man kind, not as a settler colonialist!

I love that you watch my videos, I pray they help you realise we're all human, precious and we all belong - EQUALLY!",Negative
@AlboMP How much air is in their chip packets? That's what we need to know dip stick,Irrelevant
@ClevelandPolice Is this you? 🧐,Irrelevant
@MannieMighty1 Beehave !,Irrelevant
Labor heckling those who stand up and walk out against genocide. The Labor party is a disgrace.,Negative
"@QldPolice @QldPolice your police officers have been abusing Australian nationalists 
These are the scum that did it",Negative
"@AFpost Lol ""here some nignog hubris I cooked up, now give us access to your White societies""",Negative
@ezralevant Shut up non,Irrelevant
"State Tournament '25

As iron sharpens iron, so too does one person sharpen another

Get active!

📍Melbourne, Vic

@NSNContactBot",Irrelevant
"The unwavering dedication of Palestinians to their Islamic beliefs is deeply inspirational.

In Gaza, Palestinians who have been displaced held Taraweeh prayers in camps and beside the ruins of demolished mosques.",Positive
@CPSUK Is this you? 🧐,Irrelevant
Adelaide National Socalists counter protest browns demanding to stay in our country forever. Get active to stop these entitled browns @southaustralia_ @NSNContactBot @EuropeanAusMvt,Negative
"Today @ThomasSewellx and @maskedhersant's cases were dismissed by the court.

Great photo of all the boy's talking to the media below",Irrelevant
@Palsvig 🤮,Irrelevant
@DrewPavlou Australia for the white man!,Negative
The chants of the White man can be heard throughout Brisbane CBD,Negative
"This was my favourite part of the Sam Newman podcast with Tom and Blair, where they started to get into the nitty-gritty of mass deportations 😎",Irrelevant
@StopZionistHate Squint eyes a bit,Negative
"yours in genocide ...
Melbourne Symphony Orchestra",Negative
"@fileunderkris You know what, I am totally on board with that awesome message. Good to see someone stand up for White Australia 🫡",Negative
"@ThomasSewellx These people are delusional. A biproduct of their obsession with cartoon fantasy worlds. 

People obsessed with anime slop seem to develop an over-inflated sense of self worth and keen lack of self awareness.

They're basically spiritual troons.",Irrelevant
"Politicians, media report many Jews feel uncomfortable or unsafe because of pro #Palestinian protests. But what about the discomfort, despair felt by Australians from Palestine and Lebanon? Governments and media refuse to acknowledge the #genocide in #Gaza? All should feel safe.",Positive
"Yes I love Fascism 

Long live Mussolini 

Long live Graziani",Negative
Why not place sanctions on the rogue state of #Israel?,Positive
"Hey @realDonaldTrump. 

I've got a solution for you. 

Watch the video for more details.",Irrelevant
"Is this a real quote from Grant?

H/T @zerodelta144",Irrelevant
No outrage from the @ZionistFedAus or @australian about this. Because only anti semitism matters apparently,Negative
@MunroSusane Shut the fuck up nigga they deserve it,Negative
Every day in Australia those who have committed serious crimes return to our community after being imprisoned. No issue. But a handful of migrant detainees are released and there is hysteria. Racism? #auspol,Negative
"I can't quite figure out the pattern here 

H/T @tonyrigatonee",Irrelevant
"It's almost time to get serious. 

Will be heading towards Gaza. 🇵🇸🛥️

Please share widely.",Negative
@QudsNen Gone rogue .,Irrelevant
"8. They grossly underestimate me. I'm not fighting for my job only. I will fight all the way for my students, for my research assistants, for my volunteers, for my community.

White supremacists are cowards who slink around corridors of power and throw matches at the grassroots.

But they can never match our spirit and power. They burn down. We just keep rising and growing.",Negative
"@evahorvat2001 @ZoomerHistorian Many Aboriginal tribes warred intergenerationally with eachother in small clan wars. These were brutal, random and savage mass killings. 

When Whites arrived, they attempted to treat us as they had always treated one-another. 

So they fucked around and quickly found out.",Negative
"Victorian members at their monthly meetup. 
Get involved @WhiteAusVic @EuropeanAusMvt @NSNContactBot",Negative
@benshapiro That's a no from me .,Irrelevant
"It's my belief that, if you sent any white 30 year old into a Time Machine & back 70 years, they'd never wish to return

Most can't fathom how must different the world was nor how much better it should be

We don't have to live this way

All ""they"" celebrate destroys the 🌎",Negative
@MenachemV @JoshFrydenberg @SkyNewsAust These jews believe they should have 80 goyim slaves each . Someone needs to pull their head in,Positive
My mom didn't let me play saxophone as a kid cuz it's 'a nigg3r instrument' lmao,Negative
"@theprojecttv Other than expressing a legitimate political concern that exists in the White population (which is apparently a crime) what have these men done to warrant state persecution?

Could it be something to do with the fact that they're actually pointing out what's really going on?",Negative
"Rain or shine, the standard-bearers of White Australia will never fear the clutches of this beast system.

How much longer are you going to remain a spectator in the struggle for our very existence?

White man, FIGHT BACK!

#NSN
@NSNContactBot 
@NationalSocNet",Negative
@PPC4Liberty I think he dropped this,Irrelevant
Australian journalists refusing to take sides and back the #Palestinians are not showing balance but lack of humanity,Negative
"Text of an email sent today to Nick Mitzevich, Director of the @NatGalleryAus #Palestine",Negative
Why are we only invited to interviews when Palestinians resist? Hard to get a word in but I tried.,Negative
"""Most concerning is that over half (58.2%) of participating mosques (or worshippers at them) had experienced targeted violence between 2014 and 2019."" No mention of this by media and Israel lobby",Positive
This is Israel. This is Zionism.,Positive
"@ChrisMinnsMP @nswpolice Hi Chris, why are you more concerned about White patriots than White workers being replaced by foreign labor?",Negative
Banning protests because a group in the community feels uncomfortable is a very dangerous precedent to set. But this what @nswpolice is doing. Yet again #Palestinian supporters are censored,Negative
The Melbourne synagogue attack was appalling. But it is being used to drum up support for #IsraelrogueState,Positive
@Craig_Foster You are an anti-White maggot. Keep crying.,Negative
"@filberg_jonas @WhiteAusPolicy Australia didn't exist before colonisation. There was no existing nation on this landmass. We took it, we built it, we fought for it. It's ours.",Negative
@hajarabumoussa,Irrelevant
@DrLoupis Weren't you just posting how white countries should take refugees ?,Negative
"How do accounts like @angei502527511 make any sense?

How can this individual be following 2000+ accounts and have 33.8k posts with ONE follower?

I believe this a bot being constructed, by AI and is representative of the future of X",Irrelevant
"@ferryman4747 Do you know what's there, waiting, beyond those browns?

Immortality! Take it, it's yours!",Negative
"@QldPolice I could be wrong but I totally get the impression you are hate the idea of a White Australia with a vengeance, and White citizens who like to spread enthusiasm for a White Australia 🤔

So much for upholding the public confidence of White citizens in their police force I guess 🫤",Negative
@MannieMighty1 He'll still ask for more pocket money.,Irrelevant
@JerryAnyuon You need to go back to Sudan. You and your kind are not welcome in Australia.,Negative
"I have been doing a big think about this NSN banner 🤔 

It does indeed seem to be the case that Jews hate freedom, if I am not mistaken",Positive
@nogulagsagain @OliLondonTV They're not killing them yhey are shooting them in the leg . What would you fantasise about doing if some one was stealing your families food .,Negative
@7NewsMelbourne GET. OUT.,Negative
The #Zionist lobby in Australia is a threat to democracy and the rule of law. And worse still @AlboMP @spenderallegra and others are utterly beholden to it.,Positive
@ZacJones84 What's the problem?,Irrelevant
"@Uncommonsince76 That guy has NEGATIVE charisma.

It's nails on a chalkboard. 

And he seemingly, has ZERO integrity",Irrelevant
"Furious at the determination of White men to simply keep existing.

By what right does the press judge who the Australian people choose to support?

What's next, should we make giving a Nazi your money illegal?

Should we start banning groups of over 5 White guys in public?",Negative
Seems the world richest man can be bought.,Irrelevant
"HAPPY BIRTHDAY to one of the bravest advocates in the ""JQ"" 

@DanBilzerian thank you for all you've done and continue to do!",Irrelevant
"@joeldavisx Born to garden and fix cars, forced to racewar",Irrelevant
"Members of the Riverina chapter of NSN recently did a counter protest to a drag Paedo event in Albury, NSW 

This rally in a small town in NSW was larger than the March 2023 destroy paedo freaks rally in Melbourne. We are everywhere",Negative
@IImpartialTruth Truth is the best propaganda,Irrelevant
Fuck you! You and your illegitimate illegal settler mates can find a new home. Get the fuck out of Palestine.,Positive
"The woman on the right, @heidiklum, was once considered one of the most beautiful women on earth

How would most describe her mixed children?

Are they ""beautiful""?",Irrelevant
@rowandean You're insane.  The 2 most murderous and corrupt countries .,Negative
Police brutality.,Negative
"Peter Dutton says only he can stop Australian decline. Leaving aside the jesus complex, this is a politician who administered state sanctioned abuse of asylum seekers, who endorses #Israel #genocide of #Palestinians and who would send the nation broke with his mad nuclear policy",Positive
@MaryAnneThomas Please people don't vaccinate your kids until you have researched autism,Irrelevant
Australian mainstream media and most politicians get more enraged about a very small minority carrying the flag of a proscribed organisation #Hezbollah than they do about the daily slaughter of #Palestinians by #Israel Sickening. #auspol,Positive
"@ukhomeoffice Is this you? 🧐

By ""keep you safe"" do you mean Whites or minorities? 

Hmm 🤔",Negative
Let this sink in as you go about your business spending time with loved ones.,Irrelevant
Imagine what's not caught on camera!,Irrelevant
@PeterDutton_MP Sounds like a certain jew-owned regime pet who shall remain nameless but has Peter as a first name is totally on board with jews flooding White Australia with infinity non-White jew pets 🤢,Positive
"Translation 

""I want a white gf""",Negative
@Klaus_Arminius She' right .,Irrelevant
@clowndownunder Jews will not silence us,Positive
"To be crystal clear- Israel can't be rehabilitated or saved. This isn't a rehab project for a state built on theft & ethnic cleansing, sustained on genocide. This is a liberation movement to end a brutal settler colonial apartheid regime that inflicts this misery & enjoys it.",Positive
"'Let us have a dagger between our teeth, a bomb in our hands, and an infinite scorn in our hearts.'

Benito Mussolini",Negative
"How wholesome 🥰

The cake looks good! I wonder what symbol is 🤔🤔",Irrelevant
"There has NEVER been a more concise, comprehensive overview of the dangers, detriments, & deaths resulting from communism, Zionism, & central banking

@Truthtellerftm will forever be the most incredible detractor of the (disproportionately) JEWISH-lead Bolsheviks",Positive
@MannieMighty1 But through it all you always keep that same calm expression on your face .,Irrelevant
@elonmusk Am I the only one who wants nothing to do with a future that looks like this?,Irrelevant
We hail Hitler here sir,Positive
"@7NewsAdelaide Shocked and disgusted by ""WHITE MAN FIGHT BACK""?

I wonder how many White residents went ""Cool!"" 

Hmm  🤔",Negative
@ThomasSewellx Lest We Forget.,Irrelevant
"@disclosetv Is this the same group that reported ""beheaded babies""?

Did that end up being exposed as a lie?

If so, are these people liars?

If so, should we ignore the words of liars?",Negative
Far North Queensland members at their monthly meet. If you are in FNQ or anywhere in Australia join up. @NSNContactBot @EuropeanAusMvt @WhiteAusQLD,Negative
"📍Shrine of Remembrance, Melbourne @WhiteAusVic @NSNContactBot",Irrelevant
@OurielOhayon @orenbarsky If uou people behaved yourself you wouldnt be eternal pariahs. . You could still be happy in KhazariA,Irrelevant
"@DrewPavlou You're fat and brown. They're young, thin, carefree and White. As per usual you're just posting more self-owns",Negative
@Kon__K Says who you fatty fatty souvla slomper? You're not allowed to train in the park with your boys because it upsets you?,Irrelevant
@PPC4Liberty,Irrelevant
@philipdalidakis @SkyNewsAust Maybe we could tie chops around their necks so the dogs will play with them . Their neighbours speak so highly of them . And they've only been kicked out of every country they've been in . But yeah anti semitism,Negative
The Greens are the only party to show moral leadership. Labor and Liberal are a genocide cheer squad.,Negative
@TimRichardsonMP The most corrupt government in all areas of life takes the high moral ground . GFY,Negative
"This quote is offensive; it upsets my sensibilities. But, it was written by a Nobel Prize winning humanitarian & explorer

Perhaps it's worth reading & considering?",Negative
VINCERE E VINCEREMO,Irrelevant
Seasoned journalists at the @abcnews @guardian @smh @theage should do an internship with @6NewsAU and let 16 year olds show them how journalism is done.,Irrelevant
"""No, Jews are NOT white""

H/T @rviewer45",Negative
"Once again the @abc cowers before the #Israel lobby. Well done @antoinette_news
ABC presenter sacked over anti-Israel posts",Positive
What is this that stands before me? A Nietzschean vitalist ! Moralfagging?!,Irrelevant
"A humanising puff piece for an Australian dual citizen who was killed while killing Palestinians in Gaza. 

How many of the over 30,000 Palestinians slaughtered did he kill? 

@abcnews",Positive
"Lighting buildings with blue & white will be marked in history books as the rallying of imperial, settler colonies behind a regime which will be remembered as nothing less than a racist apartheid settler colony founded & sustained on the domination of the Indigenous Palestinians.",Positive
"Victoria EAM finished White boy Winter with a powerlifting event. 

If you are in Victoria make sure to join up @EuropeanAusMvt @NSNContactBot",Negative
Never again? It's happening right now.,Irrelevant
"@NickJFuentes Jews rule over us and are actively destroying our society and ""based rightwing"" guys on twitter would rather argue about a fictional drawing of a woman for multiple days on end rather than organising or propagandising anything productive.",Positive
"What have we, in Australia, learnt in the past few days? (And by learnt what I really mean is what have we not learnt despite over two decades of activists, scholars, lawyers and community writing and speaking about this?) A 🧵",Irrelevant
Media in Australia needs to ask why it is ok to fly the flag of a nation committing #genocide ? #Israel,Negative
"If you read anything, read every single word of this searing brilliant piece by @sareemakdisi @nplusonemag",Irrelevant
@ConceptualJames,Irrelevant
Queensland members had their monthly meetup recently. Get active @NSNContactBot @EuropeanAusMvt @WhiteAusQLD,Irrelevant
@LukwesaBurak Damn that sucks you and your son should immediately leave the country to ensure your own safety.,Negative
"Did the founding fathers PROHIBIT JEWS from holding office? Does the 1826 ""Jew Bill"" not make it clear they did?",Positive
"The APAN lobby team were in Canberra this week, we've been lobbying our hearts out speaking truth to power demanding justice for Palestinians. 

When the election finally comes around demand to know your MPs position on Pal. 

Let's make sure Pal is a vote winner/vote loser!",Negative
The Australian media should be alarmed at the unprecedented level of censorship of culture by government acting at the behest of the #Zionist lobby. Gutless organisations like @creative_gov_au @StateLibraryVic and @MelbSymphony,Positive
"JEWS are 0.2% of the population but are world leaders in:

Mexico, Argentina, Venezuela, Panama, El Salvador, France, England, Russia, Latvia, Ukraine, Portugal, Transnistria, Philippines, Poland, Belgium, & Israel?

Follow: @Norambu3na 🔥",Positive
"This is just wild. 2 women were arrested in the UK for holding a sign in Arabic. The cops asked them to translate the sign. They did. The cops couldn't verify it because they didn't have a translator, so they arrested them 

Arabic is now a crime in the UK",Negative
"While tyrants in our government & media are shamefully complicit in genocide, I'm proud of my fellow Sydney-siders protesting (in torrential rain), the disgusting terrorist regime of Israel slaughtering children in the thousands #FreePalestine #auspol #PalestinianHolocaust",Positive
#Israel has committed #warcrimes for decades. It has been dedicated to oppression of #Palestinians from day one. Finally some of the world has had enough.  It is an #apartheid state and @IDF is a state sanctioned killing machine.,Positive
@acemonline Please make sure to apply the same standards when anyone wants to do a presentation on their experiences in Ukraine hospitals that may air political views. At least be consistent in your hypocrisy.,Irrelevant
"Australian Opposition leader Peter Dutton's comments are a disgraceful example of anti-Palestinian racist politicking, aimed at stirring hatred against Palestinians as they seek to flee Israel's ongoing genocide in Gaza.

#auspol",Positive
"@UncorruptedMan The victim cards are getting declined all over the world right now.
The Gentiles are waking up \o",Negative
"@toxicpaul61 @iamyesyouareno Upon closer inspection, the results are in.
Yep.. it's Every Single Time",Irrelevant
".@SenatorWong might as well hold a Jerry can & a pack of matches at the local synagogue 

@SenatorWong's provocative statements re Israel/Gaza, in circumstances where @ausgov has no meaningful influence, only serves to fan the flames of hate, division & violence here in Australia",Negative
"White people with freckles, welcome to the resistance",Negative
"That aged well didn't it?? 😂😂😂
Bloody hypocrite!!",Irrelevant
"The Greens take the people's protest for Palestine to parliament!

#CeasefireNOW #FreePalestine

@MehreenFaruqi @DavidShoebridge @janet_rice @larissawaters @senatorpennyqld @sarahinthesen8 @dorinda_cox @SenatorSurfer @NickMcKim @BarbaraPocock",Negative
"Ok, need to get something off the chest.

This lady who challenged herself to 100 blokes. There's an outpouring of sympathy for her and the guys are demons for participating.

Darned why is that?? Genuine question.",Irrelevant
Poetry in service of empire isn't poetry worth listening to,Irrelevant
Presented without comment.,Irrelevant
A Happy Australia Day everybody ☺️,Irrelevant
"Yemen has tried. They have been bombed by the US, UK, and Israel as a result. Hezbollah tried, and Lebanon was invaded as a result and bombed with thousands killed and Israeli terror attacks lauded by the West. We have to be clear: inaction is being ruthlessly enforced.",Positive
"@JessHealyWalton I feel the same. 😢 We are expected to just carry on like this? Work, live life. It's sickening but it's also terrifying as we really are at the mercy of our leaders. This shows me no one is really safe. If Palestinian lives have such little value, so do ours.",Negative
"@MickamiousG Honestly, where would the world be without Elon Musk. It's a scary thought.",Irrelevant
"Hamas rockets fired from densely populated civilian areas at Israeli civilian centres are a double war crime. They endanger Palestinians by turning the launch site into a lawful military target and their aim is to kill as many Israelis as possible. How dare the ABC laud war crimes as ""resilience"".",Negative
"He's losing Ian Miles Cheong
It's truly over",Irrelevant
"BREAKING: Ruling on the South African ICJ Case against 'Israel' expected within a week. 

This is according to members of the South African Advisory Group before International Justice.",Positive
@naveenjrazik @pablovinales @SBSNews Well done Fatima,Irrelevant
"Every single week, for the last 11 months, the good folk of Sydney protesting the revolting genocide being committed by the terrorist state of israel",Positive
"APAN & @pagsydney have condemned the AJA, leaders & media that distributed/reported on an inaccurately subtitled video claiming protesters chanted phrases that potentially constituted a hate crime during a protest at the Opera House.
Read more -",Negative
Just a reminder!! 🙌👊😎,Irrelevant
"Now, what is this? An event to honor those who have undeniably committed atrocities against innocent Palestinians? 

@AlboMP, will these individuals be held accountable and prosecuted for the war crimes they've committed in Gaza? Or will you be there cheering them on too?",Positive
"Time for honesty 

If you refer to Melbourne Australia by its indigenous name ""Narrm"" then you should refer to the West Bank by its' indigenous name ""Judea"" & ""Samaria""

And for those who don't know, Judea & Samaria are the biblical names of the indigenous Israelite Kingdoms",Negative
"@GenFlynn 💯💙 As Golda Meir said: ""You cannot negotiate peace with those who come to kill you.""",Negative
"Q: Do you think you're old enough to understand the situation? 
A: I do. If kids in Gaza are old enough to be bombed, I'm old enough to understand what's happening.",Negative
"It is so distressing and unreal to see variations of ""What if the people killed actually mattered"" posed every day while your community is being killed. What if Arabs mattered as much as ""other civilians""? What if we existed near you when targeted by USrael?",Negative
Such a cool society.,Irrelevant
"Before shedding tears for the people of Gaza, remember that they created Hamas, elected it, supported it, supplied it, worked for it, hid it, sheltered it, filled its ranks and celebrated all of its atrocities.",Negative
Killing MSF doctors is now the new normal? Sickening.,Negative
@SenatorWong I can't remember the last time when you posted about Australia? Correct me if I'm wrong of course but it always seems to be about wars we don't need to be involved in,Negative
"The Australian community wants to know how many more Palestinians must die before the Australian Government ends its complicity in Israel's flagrant breaches of international law? #qanda
4/4 End",Positive
@noble_x_x_ Have you noticed how people just don't want to hear it?,Irrelevant
@foundring1 Qanon will be trending very shortly lol,Irrelevant
"@PeterDutton_MP Australia 🇦🇺 is under foreign interference. 

All our politicians past and present should be convicted of treason.

They all dance with the devil ✡️🇮🇱👹",Positive
"Who's with me? 🤷‍♂️😎
🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺",Irrelevant
@PeterDutton_MP The tiny hat people you serve approve of your post Mr Dud.,Irrelevant
@Chris_English_1 @KateEmerson88 Of course you are not . Zionists are depraved and think only of themselves,Positive
@TheFlatEartherr All rabbit holes lead to the same burrow.,Irrelevant
"Just two British Muslims discussing how much they hate non-Muslims and tolerate living among them.

""I can be in a land where I live with these people, but I have hate for these people, I don't like them.""",Negative
"BREAKING: 🇮🇩 Indonesia will be taking Israel to ICJ Court on New Charge. 

In a seperate case to the one brought by South Africa, Indonesia will bring Israel to the ICJ for its illegal occupation of Palestine. 

Indonesian Foreign Minister: 

""International law must be upheld. Israel's occupation of Palestine, which has lasted for more than 70, will not erase the right of the Palestinian people to independence.",Negative
"Wake up Victorian goys. 

This PO💩 isn't the only politician serving the ZJoo ✡️👹

He'll never be punished while the ZJooz are in control of Australia.

#silenceiscomplicity  #SpeakUpNow",Positive
What type of clouds are these? 🤣😂🤣,Irrelevant
"Surely the murder of an Australian citizen justifies the immediate cancellation of our contract with @ElbitSystemsLtd 

@RichardMarlesMP this is your chance to ensure your legacy and would be a very big step in helping restore social cohesion in Australia.",Negative
"We must know if any Australian citizens are serving in the Israeli army.

Investigations will take place and prosecutions must ensue.

The Aus Gov needs to be able to identify these individuals and be ready to hand them over to an International Court when the time comes!",Positive
@AlboMP All the houso houses are boarded up in Wagga and you've moved all the Abos out to the swank areas where working ppl pay $800 a week and the abos are lucky to pay $100 out of the welfare payments my taxes pay for. The govt is buying expensive new houses and giving them to Abos.,Irrelevant
@iamyesyouareno His parents will get longer in gaol for talking about it on social media than the killers will. Sick,Irrelevant
"I was born in Sydney Australia

I am a proud Australia Jew

I have the right to live in Australia, free from discrimination, threats or abuse",Negative
"2. One of my PhD students, a young Muslim Lebanese woman from western Sydney, has started a PhD on Arab cultural production and poetry as artistic activism among Arab diaspora artists in western Sydney.

The other PhD candidate, a young Muslim Egyptian woman, has just submitted her proposal to conduct a comprehensive analysis of abolitionist critiques and mobilisation tactics across Cairo, New York and Sydney/Melbourne.",Irrelevant
